#{"t_start": 1779027333.8860598, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
0.229546,73,33.570455,hard,0.30234553775743706,0.30234553775743706,0,728
0.206812,79,63.876086,hard,0.28541189931350114,0.28541189931350114,0,786
0.141009,67,88.565424,hard,0.20800915331807782,0.20800915331807782,0,670
0.182375,71,116.335078,hard,0.25297482837528606,0.25297482837528606,0,706
0.2337,79,145.519278,hard,0.31229977116704805,0.31229977116704805,0,786
0.329779,77,173.46919,hard,0.40657894736842104,0.40657894736842104,0,768
0.186178,70,201.913937,hard,0.2553775743707094,0.2553775743707094,0,692
0.183082,77,227.998126,hard,0.25938215102974826,0.25938215102974826,0,763
0.268437,77,253.2754,hard,0.345137299771167,0.345137299771167,0,767
0.213375,90,283.050355,hard,0.3033752860411899,0.3033752860411899,0,900
0.133703,70,306.885363,hard,0.20280320366132723,0.20280320366132723,0,691
0.269554,90,337.704441,hard,0.3595537757437071,0.3595537757437071,0,900
0.175767,70,362.866272,hard,0.24576659038901602,0.24576659038901602,0,700
0.304489,74,391.310245,hard,0.3776887871853547,0.3776887871853547,0,732
0.174763,68,415.244568,hard,0.2425629290617849,0.2425629290617849,0,678
0.250167,84,444.753015,hard,0.33346681922196797,0.33346681922196797,0,833
0.308142,79,472.732092,hard,0.3868421052631579,0.3868421052631579,0,787
0.210452,73,497.666737,hard,0.2829519450800915,0.2829519450800915,0,725
0.134419,82,528.223311,hard,0.2164187643020595,0.2164187643020595,0,820
0.098847,67,552.429995,hard,0.1658466819221968,0.1658466819221968,0,670
0.137524,72,580.22202,hard,0.20892448512585812,0.20892448512585812,0,714
0.19394,79,606.835849,hard,0.2725400457665904,0.2725400457665904,0,786
2.43666,79,634.918897,hard,0.5147597254004577,2.5147597254004577,2,781
0.092306,76,660.330157,hard,0.16750572082379864,0.16750572082379864,0,752
0.133627,90,693.931819,hard,0.22362700228832952,0.22362700228832952,0,900
0.228514,71,719.595617,hard,0.2993135011441648,0.2993135011441648,0,708
0.135059,80,753.308447,hard,0.21435926773455377,0.21435926773455377,0,793
0.226295,82,784.320412,hard,0.3078947368421053,0.3078947368421053,0,816
0.102127,72,810.919306,hard,0.1740274599542334,0.1740274599542334,0,719
0.100553,71,836.081492,hard,0.17145308924485125,0.17145308924485125,0,709
0.282793,74,862.133066,hard,0.3566933638443936,0.3566933638443936,0,739
0.09008,68,886.09652,hard,0.15737986270022883,0.15737986270022883,0,673
0.245733,71,910.78824,hard,0.31613272311212814,0.31613272311212814,0,704
2.551631,89,943.968322,hard,0.6399313501144165,2.6399313501144164,2,883
0.232889,71,969.525716,hard,0.3030892448512586,0.3030892448512586,0,702
0.099827,74,995.567269,hard,0.17322654462242562,0.17322654462242562,0,734
0.205211,80,1025.201439,hard,0.2846109839816934,0.2846109839816934,0,794
0.161633,68,1050.441639,hard,0.22923340961098398,0.22923340961098398,0,676
0.057355,78,1078.518745,hard,0.13535469107551487,0.13535469107551487,0,780
0.152826,70,1103.859039,hard,0.22282608695652173,0.22282608695652173,0,700
0.266571,71,1136.213433,hard,0.3374713958810069,0.3374713958810069,0,709
2.439355,71,1161.017993,hard,0.5103546910755149,2.510354691075515,2,710
0.167257,71,1186.217358,hard,0.23775743707093822,0.23775743707093822,0,705
0.366225,81,1215.164432,hard,0.44702517162471395,0.44702517162471395,0,808
0.205944,71,1239.531356,hard,0.2761441647597254,0.2761441647597254,0,702
0.231788,71,1264.313218,hard,0.3022883295194508,0.3022883295194508,0,705
0.263722,69,1287.607668,hard,0.33192219679633866,0.33192219679633866,0,682
0.127098,71,1315.807435,hard,0.19799771167048055,0.19799771167048055,0,709
0.062163,69,1341.597327,hard,0.13026315789473683,0.13026315789473683,0,681
0.106145,71,1365.980257,hard,0.1765446224256293,0.1765446224256293,0,704
1.429406,76,1393.218781,hard,0.5052059496567506,1.5052059496567507,1,758
0.259503,68,1416.639899,hard,0.32740274599542335,0.32740274599542335,0,679
0.354149,77,1444.345774,hard,0.4305491990846682,0.4305491990846682,0,764
0.28446,81,1472.307573,hard,0.36516018306636155,0.36516018306636155,0,807
0.258217,70,1501.77215,hard,0.3275171624713959,0.3275171624713959,0,693
0.181674,71,1527.119302,hard,0.25257437070938216,0.25257437070938216,0,709
0.128481,67,1550.632371,hard,0.19548054919908467,0.19548054919908467,0,670
0.222029,79,1579.36145,hard,0.3002288329519451,0.3002288329519451,0,782
