#{"t_start": 1779027333.895375, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
1.54309,75,34.161615,medium,0.6172897196261682,1.6172897196261682,1,742
0.370358,90,68.090451,medium,0.4603582554517134,0.4603582554517134,0,900
1.457975,90,102.135242,medium,0.5479750778816199,1.54797507788162,1,900
0.403612,73,130.452726,medium,0.47601246105919004,0.47601246105919004,0,724
1.528325,82,159.731592,medium,0.6101246105919003,1.6101246105919003,1,818
2.777702,83,188.014843,medium,0.860202492211838,2.860202492211838,2,825
2.642866,90,224.38943,medium,0.7328660436137072,2.7328660436137073,2,900
1.767788,90,254.283756,medium,0.8577881619937695,1.8577881619937695,1,900
2.637188,79,280.434329,medium,0.7158878504672898,2.71588785046729,2,787
2.823627,80,307.46673,medium,0.9034267912772586,2.9034267912772584,2,798
2.898396,90,338.587354,medium,0.9883956386292835,2.9883956386292834,2,900
2.845066,88,369.236735,medium,0.9328660436137072,2.932866043613707,2,878
1.497153,84,401.730345,medium,0.5811526479750779,1.581152647975078,1,840
0.392477,90,433.0071,medium,0.4824766355140187,0.4824766355140187,0,900
2.586026,76,461.076156,medium,0.6615264797507788,2.661526479750779,2,755
2.607753,74,486.167042,medium,0.6811526479750779,2.681152647975078,2,734
0.393165,81,516.019965,medium,0.4740654205607477,0.4740654205607477,0,809
1.565997,90,548.620111,medium,0.6559968847352025,1.6559968847352025,1,900
3.9387,62,572.90623,medium,1.0,4.0,3,613
0.412451,77,598.566377,medium,0.48855140186915885,0.48855140186915885,0,761
2.711168,90,630.441767,medium,0.8011682242990654,2.801168224299065,2,900
3.9108,90,660.615031,medium,1.0,4.0,3,892
1.55746,80,690.489198,medium,0.636760124610592,1.6367601246105918,1,793
2.611056,81,719.956409,medium,0.6920560747663551,2.692056074766355,2,810
1.436874,78,752.966335,medium,0.5141744548286604,1.5141744548286604,1,773
2.667087,90,786.752462,medium,0.7570872274143302,2.7570872274143303,2,900
2.742717,87,819.028761,medium,0.8295171339563863,2.8295171339563865,2,868
1.614439,90,850.917769,medium,0.7044392523364486,1.7044392523364484,1,900
2.679903,81,878.750719,medium,0.7609034267912772,2.7609034267912773,2,810
2.721604,90,910.467228,medium,0.8116043613707166,2.8116043613707165,2,900
