#{"t_start": 1778877353.0845404, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
0.240125,57,18.604819,0.29662471395881007,0.29662471395881007,0,565
0.178114,72,43.492247,0.25011441647597255,0.25011441647597255,0,720
0.110069,63,66.02824,0.17276887871853547,0.17276887871853547,0,627
0.285551,72,89.469685,0.35755148741418763,0.35755148741418763,0,720
0.189177,66,112.9231,0.2545766590389016,0.2545766590389016,0,654
0.103379,54,132.013331,0.15697940503432495,0.15697940503432495,0,536
0.120048,72,156.17646,0.19204805491990848,0.19204805491990848,0,720
0.087086,64,181.961857,0.15028604118993136,0.15028604118993136,0,632
0.169627,54,200.614542,0.22322654462242564,0.22322654462242564,0,536
0.080975,72,226.323412,0.15297482837528603,0.15297482837528603,0,720
0.113162,54,244.920099,0.1663615560640732,0.1663615560640732,0,532
0.166624,55,261.653384,0.22122425629290618,0.22122425629290618,0,546
0.036238,72,284.431007,0.10823798627002289,0.10823798627002289,0,720
0.194971,55,303.134692,0.24937070938215103,0.24937070938215103,0,544
0.259289,57,322.527236,0.3157894736842105,0.3157894736842105,0,565
0.141911,68,344.31996,0.20961098398169337,0.20961098398169337,0,677
