#{"t_start": 1779077250.7974236, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
1.606386,69,21.317767,medium,0.5778816199376947,1.5778816199376946,1,686,4,2,2,2,2,0,0,0,0,0.007359813084112174,48,0.09710397196261683,0.0011039719626168261,0.096,0.0,0.0
2.721489,65,40.363897,medium,0.7739096573208722,2.773909657320872,2,648,4,2,2,2,2,0,0,0,0,0.01586448598130852,5,0.012379672897196279,0.002379672897196278,0.01,0.0,0.0
0.473326,70,60.504116,medium,0.44633956386292833,0.44633956386292833,0,692,4,2,2,2,2,0,0,0,0,0.0012461059190031158,48,0.09618691588785047,0.00018691588785046736,0.096,0.0,0.0
1.798941,70,81.069415,medium,0.7669781931464175,1.7669781931464175,1,700,4,2,2,2,2,0,0,0,0,0.013084112149532217,72,0.10196261682242984,0.0019626168224298325,0.1,0.0,0.0
0.399504,71,101.437397,medium,0.3728115264797508,0.3728115264797508,0,710,4,2,2,2,2,0,0,0,0,0.011285046728972025,48,0.09769275700934581,0.0016927570093458039,0.096,0.0,0.0
2.817555,68,120.482749,medium,0.7799065420560748,2.7799065420560747,2,676,4,2,2,2,2,0,0,0,0,0.061658878504671256,48,0.10524883177570069,0.009248831775700687,0.096,0.0,0.0
0.500264,64,138.830064,medium,0.46713395638629285,0.46713395638629285,0,639,4,2,2,2,2,0,0,0,0,0.006869158878504692,48,0.09703037383177571,0.0010303738317757037,0.096,0.0,0.0
0.517244,60,160.761874,medium,0.4823208722741433,0.4823208722741433,0,600,4,2,2,2,2,0,0,0,0,0.0194859813084113,46,0.0949228971962617,0.0029228971962616947,0.092,0.0,0.0
0.388995,79,183.19547,medium,0.43644859813084114,0.43644859813084114,0,789,4,2,2,2,2,0,0,0,0,0.02297507788161998,14,0.031446261682242994,0.003446261682242997,0.028,0.0,0.0
2.903805,74,204.112964,medium,0.8727414330218068,2.872741433021807,2,732,4,2,2,2,2,0,0,0,0,0.02842679127725863,58,0.1042640186915888,0.004264018691588794,0.1,0.0,0.0
0.460366,65,222.265089,medium,0.4545794392523365,0.4545794392523365,0,649,4,2,2,2,2,0,0,0,0,0.004579439252336498,35,0.07068691588785046,0.0006869158878504749,0.06999999999999999,0.0,0.0
