#{"t_start": 1779077250.8294919, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.269915,59,18.793502,hard,0.27770594965675055,0.27770594965675055,0,588,4,2,2,2,2,0,0,0,0,0.02006292906178478,24,0.051009439359267716,0.003009439359267717,0.048,0.0,0.0
0.273062,75,40.332082,hard,0.2510869565217391,0.2510869565217391,0,748,4,2,2,2,2,0,0,0,0,0.00516590389016024,48,0.09677488558352404,0.0007748855835240358,0.096,0.0,0.0
0.294191,58,57.260137,hard,0.3028146453089243,0.3028146453089243,0,572,4,2,2,2,2,0,0,0,0,0.0038443935926771797,24,0.04857665903890158,0.000576659038901577,0.048,0.0,0.0
0.100772,59,74.540727,hard,0.06287185354691076,0.06287185354691076,0,581,4,2,2,2,2,0,0,0,0,0.0,48,0.096,0.0,0.096,0.0,0.0
0.325986,63,92.527852,hard,0.2866132723112128,0.2866132723112128,0,627,4,2,2,2,2,0,0,0,0,0.01381578947368416,60,0.10207236842105263,0.0020723684210526244,0.1,0.0,0.0
0.378318,75,114.103097,hard,0.35162471395880995,0.35162471395880995,0,741,4,2,2,2,2,0,0,0,0,0.005286041189931271,74,0.1007929061784897,0.0007929061784896906,0.1,0.0,0.0
0.21459,61,131.017745,hard,0.2246109839816933,0.2246109839816933,0,604,4,2,2,2,2,0,0,0,0,0.015858123569794,24,0.0503787185354691,0.0023787185354690998,0.048,0.0,0.0
0.218044,66,154.862206,hard,0.19799771167048055,0.19799771167048055,0,659,4,2,2,2,2,0,0,0,0,0.012974828375286138,42,0.08594622425629292,0.0019462242562929208,0.084,0.0,0.0
0.384834,58,171.02734,hard,0.34193363844393593,0.34193363844393593,0,571,4,2,2,2,2,0,0,0,0,0.0,71,0.1,0.0,0.1,0.0,0.0
0.308294,65,189.613459,hard,0.3022311212814641,0.3022311212814641,0,641,4,2,2,2,2,0,0,0,0,0.014416475972539651,34,0.07016247139588096,0.0021624713958809474,0.068,0.0,0.0
