#{"t_start": 1778872739.5171785, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
0.14932,56,38.50155,0.20532036613272311,0.20532036613272311,0,560
0.109236,72,55.278092,0.18123569794050343,0.18123569794050343,0,720
0.26531,56,69.081562,0.32110983981693364,0.32110983981693364,0,558
0.133129,55,82.593489,0.18792906178489702,0.18792906178489702,0,548
0.322987,66,98.565029,0.3887871853546911,0.3887871853546911,0,658
0.112669,61,113.020959,0.17276887871853547,0.17276887871853547,0,601
0.11807,56,126.33644,0.17397025171624714,0.17397025171624714,0,559
0.304096,55,139.405915,0.35909610983981693,0.35909610983981693,0,550
0.283023,63,155.954246,0.3454233409610984,0.3454233409610984,0,624
0.14729,57,169.987879,0.20348970251716247,0.20348970251716247,0,562
0.042325,55,182.852624,0.09662471395881007,0.09662471395881007,0,543
0.135723,72,200.267137,0.20772311212814645,0.20772311212814645,0,720
0.146301,55,213.799154,0.20120137299771168,0.20120137299771168,0,549
0.238268,60,228.479208,0.29736842105263156,0.29736842105263156,0,591
0.248636,58,242.448734,0.3062356979405034,0.3062356979405034,0,576
0.165757,72,259.494459,0.23775743707093822,0.23775743707093822,0,720
0.065848,52,271.898542,0.11704805491990847,0.11704805491990847,0,512
0.260206,58,287.915922,0.31750572082379863,0.31750572082379863,0,573
0.258419,71,305.016707,0.3291189931350114,0.3291189931350114,0,707
0.204584,57,318.878251,0.26098398169336384,0.26098398169336384,0,564
0.195334,72,336.19317,0.2673340961098398,0.2673340961098398,0,720
0.138812,72,353.614964,0.21081235697940504,0.21081235697940504,0,720
0.075946,53,366.003227,0.12814645308924486,0.12814645308924486,0,522
0.222003,56,379.386209,0.2778032036613272,0.2778032036613272,0,558
0.065349,53,391.962267,0.11784897025171624,0.11784897025171624,0,525
0.135236,60,407.822404,0.19433638443935927,0.19433638443935927,0,591
0.058054,65,423.385972,0.12265446224256293,0.12265446224256293,0,646
0.0892,61,437.904221,0.14959954233409611,0.14959954233409611,0,604
0.166723,54,450.698775,0.2204233409610984,0.2204233409610984,0,537
0.160618,56,463.955851,0.2160183066361556,0.2160183066361556,0,554
0.015586,60,478.359813,0.07528604118993135,0.07528604118993135,0,597
0.029727,69,494.574147,0.09862700228832952,0.09862700228832952,0,689
0.162835,56,508.404727,0.21853546910755148,0.21853546910755148,0,557
0.177452,56,522.766945,0.23335240274599542,0.23335240274599542,0,559
0.142897,55,535.627206,0.19719679633867276,0.19719679633867276,0,543
0.096216,69,551.853872,0.16441647597254005,0.16441647597254005,0,682
0.138292,55,564.660702,0.19279176201372997,0.19279176201372997,0,545
0.048432,55,577.384546,0.1034324942791762,0.1034324942791762,0,550
0.126965,56,590.49521,0.1822654462242563,0.1822654462242563,0,553
0.208088,57,604.533321,0.26418764302059494,0.26418764302059494,0,561
0.225508,57,618.039956,0.28180778032036613,0.28180778032036613,0,563
0.188869,60,632.230373,0.24816933638443936,0.24816933638443936,0,593
0.187147,55,646.494851,0.24124713958810068,0.24124713958810068,0,541
0.228866,67,662.415406,0.29536613272311213,0.29536613272311213,0,665
0.123767,72,680.19261,0.19576659038901603,0.19576659038901603,0,720
0.098289,55,693.786459,0.1526887871853547,0.1526887871853547,0,544
0.274289,67,709.548024,0.34078947368421053,0.34078947368421053,0,665
0.013492,55,722.569655,0.06819221967963386,0.06819221967963386,0,547
0.156314,56,735.941313,0.2120137299771167,0.2120137299771167,0,557
0.261204,55,748.951649,0.31590389016018305,0.31590389016018305,0,547
0.177703,62,763.329466,0.2397025171624714,0.2397025171624714,0,620
0.236963,56,777.798902,0.2925629290617849,0.2925629290617849,0,556
0.131683,67,898.910958,0.197883295194508,0.197883295194508,0,662
0.132484,54,911.97585,0.18558352402745995,0.18558352402745995,0,531
0.163139,59,925.77446,0.2217391304347826,0.2217391304347826,0,586
0.042822,52,937.940387,0.09462242562929062,0.09462242562929062,0,518
0.108074,70,954.4921,0.17717391304347826,0.17717391304347826,0,691
0.203182,56,967.892806,0.2589816933638444,0.2589816933638444,0,558
0.048938,60,982.393569,0.10863844393592677,0.10863844393592677,0,597
0.14031,56,997.112252,0.19610983981693364,0.19610983981693364,0,558
0.255216,72,1014.153954,0.3263157894736842,0.3263157894736842,0,711
0.190268,57,1027.821505,0.2469679633867277,0.2469679633867277,0,567
0.095603,70,1044.449338,0.1651029748283753,0.1651029748283753,0,695
0.152141,71,1061.460188,0.22294050343249427,0.22294050343249427,0,708
0.120542,66,1077.221194,0.186441647597254,0.186441647597254,0,659
0.134585,53,1089.75482,0.18718535469107553,0.18718535469107553,0,526
0.142638,54,1102.407926,0.19593821510297482,0.19593821510297482,0,533
0.168428,57,1115.790333,0.2248283752860412,0.2248283752860412,0,564
0.045211,53,1129.63719,0.0973112128146453,0.0973112128146453,0,521
