#{"t_start": 1779027332.298127, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
2.874963,72,33.810114,medium,0.9469626168224299,2.9469626168224297,2,720
2.544745,72,58.783059,medium,0.6167445482866044,2.6167445482866043,2,720
2.608775,65,80.353933,medium,0.6729750778816199,2.67297507788162,2,642
2.711142,63,101.541879,medium,0.7734423676012461,2.773442367601246,2,623
2.870601,72,125.804395,medium,0.942601246105919,2.942601246105919,2,720
3.9385,62,147.544302,medium,1.0,4.0,3,615
3.9419,59,168.06768,medium,1.0,4.0,3,581
0.344831,54,194.634879,medium,0.3981308411214953,0.3981308411214953,0,533
3.9285,72,218.32401,medium,1.0,4.0,3,715
2.775021,67,240.621981,medium,0.8411214953271028,2.8411214953271027,2,661
2.82138,72,264.853703,medium,0.893380062305296,2.893380062305296,2,720
2.914215,72,290.278425,medium,0.986214953271028,2.986214953271028,2,720
3.9285,72,315.278865,medium,1.0,4.0,3,715
2.728156,72,339.481505,medium,0.8001557632398754,2.8001557632398755,2,720
2.718576,72,364.334363,medium,0.790576323987539,2.7905763239875387,2,720
2.764044,61,390.47151,medium,0.8248442367601246,2.8248442367601245,2,608
3.9501,50,407.982734,medium,1.0,4.0,3,499
1.485907,61,428.154776,medium,0.5468068535825545,1.5468068535825545,1,609
2.814708,50,445.031855,medium,0.8644080996884735,2.8644080996884735,2,497
3.9458,55,464.506631,medium,1.0,4.0,3,542
2.925741,72,490.118414,medium,0.9977414330218068,2.997741433021807,2,720
3.9419,59,510.051338,medium,1.0,4.0,3,581
2.548735,53,528.518467,medium,0.6009345794392523,2.600934579439252,2,522
3.9415,59,552.243204,medium,1.0,4.0,3,585
3.9352,65,573.409153,medium,1.0,4.0,3,648
3.9442,56,592.901547,medium,1.0,4.0,3,558
2.486249,51,609.513069,medium,0.5364485981308411,2.536448598130841,2,502
3.9486,52,627.466793,medium,1.0,4.0,3,514
3.9316,69,650.739797,medium,1.0,4.0,3,684
2.842127,62,672.502963,medium,0.9034267912772586,2.9034267912772584,2,613
3.9491,51,690.793485,medium,1.0,4.0,3,509
3.96,40,704.801704,medium,1.0,4.0,3,400
1.38854,59,724.895769,medium,0.4470404984423676,1.4470404984423677,1,585
2.687196,52,745.22341,medium,0.7383956386292835,2.7383956386292834,2,512
3.956,44,760.624964,medium,1.0,4.0,3,440
2.836645,72,785.519064,medium,0.9086448598130841,2.908644859813084,2,720
2.847626,72,810.211219,medium,0.9196261682242991,2.919626168224299,2,720
2.784106,71,834.841121,medium,0.8542056074766355,2.8542056074766355,2,701
2.667314,52,853.672124,medium,0.7186137071651091,2.718613707165109,2,513
3.9438,57,873.127994,medium,1.0,4.0,3,562
3.9331,67,895.955564,medium,1.0,4.0,3,669
3.9447,56,917.266053,medium,1.0,4.0,3,553
3.9408,60,937.007674,medium,1.0,4.0,3,592
2.677922,72,961.629403,medium,0.7499221183800623,2.7499221183800624,2,720
2.865695,72,986.259422,medium,0.9376947040498442,2.9376947040498442,2,720
3.9395,61,1007.90476,medium,1.0,4.0,3,605
3.9476,53,1026.315629,medium,1.0,4.0,3,524
2.675819,56,1045.505656,medium,0.7309190031152648,2.7309190031152646,2,551
2.662343,62,1066.44283,medium,0.7241433021806853,2.7241433021806856,2,618
3.9505,50,1083.803542,medium,1.0,4.0,3,495
2.541126,70,1109.42618,medium,0.6108255451713396,2.6108255451713394,2,697
3.9423,58,1128.506073,medium,1.0,4.0,3,577
3.9596,41,1142.306004,medium,1.0,4.0,3,404
2.874417,72,1165.984739,medium,0.946417445482866,2.946417445482866,2,720
2.90224,70,1190.084468,medium,0.9720404984423676,2.9720404984423676,2,698
3.9469,54,1208.400011,medium,1.0,4.0,3,531
2.665615,54,1227.141252,medium,0.7193146417445483,2.7193146417445484,2,537
2.730414,72,1252.333699,medium,0.8024143302180685,2.8024143302180686,2,720
3.9308,70,1278.537008,medium,1.0,4.0,3,692
2.634535,67,1302.359666,medium,0.7009345794392523,2.7009345794392523,2,664
2.724987,58,1321.836958,medium,0.7820872274143302,2.7820872274143302,2,571
2.791528,55,1341.186616,medium,0.8460280373831776,2.8460280373831774,2,545
3.9365,64,1363.837101,medium,1.0,4.0,3,635
3.929,71,1389.449139,medium,1.0,4.0,3,710
2.793792,59,1410.421682,medium,0.8524922118380063,2.8524922118380065,2,587
0.319667,72,1435.615382,medium,0.39166666666666666,0.39166666666666666,0,720
2.689987,68,1461.019808,medium,0.7570872274143302,2.7570872274143303,2,671
2.862268,72,1486.339654,medium,0.9342679127725857,2.9342679127725857,2,720
2.682661,55,1504.835039,medium,0.7374610591900311,2.7374610591900312,2,548
2.91605,72,1530.099548,medium,0.9878504672897196,2.9878504672897197,2,718
2.727238,52,1547.719875,medium,0.7787383177570093,2.7787383177570093,2,515
3.946,54,1566.816305,medium,1.0,4.0,3,540
2.839536,63,1588.388133,medium,0.9016355140186916,2.9016355140186914,2,621
0.395258,57,1608.01116,medium,0.4515576323987539,0.4515576323987539,0,563
2.870056,72,1634.342444,medium,0.9420560747663551,2.942056074766355,2,720
1.420445,72,1658.663386,medium,0.4924454828660436,1.4924454828660436,1,720
1.281386,50,1674.780576,medium,0.33138629283489096,1.331386292834891,1,500
2.773635,70,1698.232919,medium,0.842834890965732,2.842834890965732,2,692
3.9493,51,1715.507288,medium,1.0,4.0,3,507
3.9492,51,1733.185888,medium,1.0,4.0,3,508
2.725508,72,1758.052999,medium,0.7975077881619937,2.797507788161994,2,720
3.9421,58,1777.796882,medium,1.0,4.0,3,579
2.573883,56,1798.692896,medium,0.6292834890965732,2.629283489096573,2,554
2.718932,55,1817.553058,medium,0.7738317757009345,2.7738317757009345,2,549
2.834027,70,1841.389435,medium,0.9034267912772586,2.9034267912772584,2,694
2.516731,57,1861.273974,medium,0.5731308411214954,2.5731308411214955,2,564
3.9384,62,1881.815443,medium,1.0,4.0,3,616
2.832327,72,1906.311512,medium,0.9034267912772586,2.9034267912772584,2,711
3.935,65,1928.259095,medium,1.0,4.0,3,650
2.858867,50,1945.623993,medium,0.9085669781931465,2.9085669781931465,2,497
3.9288,72,1970.331107,medium,1.0,4.0,3,712
2.873552,57,1991.364748,medium,0.9304517133956386,2.9304517133956387,2,569
2.705591,63,2013.337186,medium,0.7679906542056075,2.7679906542056076,2,624
1.667681,69,2036.678509,medium,0.735981308411215,1.735981308411215,1,683
3.9539,47,2051.599051,medium,1.0,4.0,3,461
3.9359,65,2072.429757,medium,1.0,4.0,3,641
2.646968,55,2090.453962,medium,0.7011682242990654,2.7011682242990656,2,542
2.924106,72,2116.894942,medium,0.9961059190031153,2.9961059190031154,2,720
2.831427,72,2142.785318,medium,0.9034267912772586,2.9034267912772584,2,720
3.956,44,2159.786398,medium,1.0,4.0,3,440
2.539371,72,2184.624561,medium,0.6113707165109035,2.6113707165109035,2,720
2.837027,67,2207.680454,medium,0.9034267912772586,2.9034267912772584,2,664
3.9462,54,2226.983424,medium,1.0,4.0,3,538
1.485771,60,2247.430774,medium,0.5451713395638629,1.5451713395638629,1,594
3.9478,53,2265.249577,medium,1.0,4.0,3,522
2.670835,72,2290.477836,medium,0.7428348909657321,2.742834890965732,2,720
3.9382,62,2311.667231,medium,1.0,4.0,3,618
2.836723,72,2338.866215,medium,0.9087227414330218,2.9087227414330217,2,720
2.874072,72,2363.779064,medium,0.9458722741433022,2.9458722741433023,2,718
2.666528,63,2386.223003,medium,0.7291277258566978,2.729127725856698,2,626
2.831427,72,2409.874065,medium,0.9034267912772586,2.9034267912772584,2,720
3.937,63,2430.057698,medium,1.0,4.0,3,630
2.792564,72,2454.085383,medium,0.8645638629283489,2.8645638629283487,2,720
2.74895,72,2478.833418,medium,0.8209501557632399,2.82095015576324,2,720
2.694667,72,2504.506039,medium,0.7666666666666667,2.7666666666666666,2,720
2.751462,54,2522.832916,medium,0.8050623052959501,2.8050623052959502,2,536
3.9453,55,2542.102449,medium,1.0,4.0,3,547
2.699958,61,2562.57372,medium,0.7603582554517134,2.760358255451713,2,604
2.805357,55,2581.684364,medium,0.8596573208722741,2.859657320872274,2,543
2.902221,72,2606.113482,medium,0.9742211838006231,2.974221183800623,2,720
3.9422,58,2624.2738,medium,1.0,4.0,3,578
3.9468,54,2642.512416,medium,1.0,4.0,3,532
2.788986,68,2665.40379,medium,0.856386292834891,2.856386292834891,2,674
2.676053,72,2693.239042,medium,0.7480529595015576,2.7480529595015577,2,720
3.9535,47,2709.52971,medium,1.0,4.0,3,465
3.9471,53,2727.208973,medium,1.0,4.0,3,529
2.658919,72,2751.436382,medium,0.7309190031152648,2.7309190031152646,2,720
3.941,59,2771.251763,medium,1.0,4.0,3,590
3.9368,64,2793.651819,medium,1.0,4.0,3,632
3.9514,49,2810.111109,medium,1.0,4.0,3,486
3.9362,64,2831.651859,medium,1.0,4.0,3,638
2.730788,61,2853.135358,medium,0.7908878504672897,2.7908878504672896,2,601
2.912112,64,2876.323386,medium,0.9753115264797507,2.975311526479751,2,632
2.848593,55,2895.220066,medium,0.9031931464174455,2.9031931464174456,2,546
2.587813,72,2920.793377,medium,0.6598130841121496,2.6598130841121495,2,720
3.9307,70,2943.893969,medium,1.0,4.0,3,693
2.501783,61,2965.871641,medium,0.5623831775700935,2.5623831775700934,2,606
2.85833,56,2985.560479,medium,0.9143302180685359,2.9143302180685358,2,560
1.447632,52,3002.87299,medium,0.49883177570093457,1.4988317757009346,1,512
3.9475,53,3022.069877,medium,1.0,4.0,3,525
2.663053,60,3043.685805,medium,0.7230529595015577,2.723052959501558,2,600
2.63664,52,3061.416423,medium,0.6882398753894081,2.6882398753894083,2,516
2.855414,72,3086.805526,medium,0.9274143302180685,2.9274143302180686,2,720
2.688202,72,3111.485229,medium,0.760202492211838,2.760202492211838,2,720
