#{"t_start": 1778878527.909835, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
1.481478,69,27.856699,0.5500778816199376,1.5500778816199376,1,686
0.308198,58,47.510148,0.36549844236760126,0.36549844236760126,0,573
0.339948,63,68.580267,0.40264797507788164,0.40264797507788164,0,627
2.616318,72,91.935814,0.6883177570093458,2.688317757009346,2,720
1.501442,72,113.692781,0.5734423676012461,1.5734423676012461,1,720
0.312495,59,130.41042,0.37149532710280375,0.37149532710280375,0,590
0.2041,63,149.673451,0.26690031152647975,0.26690031152647975,0,628
1.452647,67,175.577497,0.5188473520249222,1.5188473520249222,1,662
2.491863,72,196.573865,0.5638629283489096,2.5638629283489096,2,720
2.549106,72,218.175613,0.6211059190031153,2.6211059190031154,2,720
0.324632,58,236.621836,0.3826323987538941,0.3826323987538941,0,580
1.57029,72,257.719504,0.6422897196261682,1.6422897196261683,1,720
0.225074,65,276.748695,0.28917445482866044,0.28917445482866044,0,641
2.486567,72,296.8792,0.5585669781931464,2.5585669781931464,2,720
0.415243,59,314.159927,0.47414330218068534,0.47414330218068534,0,589
0.265305,72,340.060869,0.33730529595015574,0.33730529595015574,0,720
0.233484,55,355.865578,0.2880841121495327,0.2880841121495327,0,546
2.721458,72,377.778636,0.7934579439252336,2.7934579439252336,2,720
0.392271,53,393.361559,0.44517133956386296,0.44517133956386296,0,529
2.678479,57,410.311553,0.7345794392523365,2.7345794392523364,2,561
1.488826,72,431.360886,0.5608255451713395,1.5608255451713395,1,720
0.270487,62,449.018126,0.3320872274143302,0.3320872274143302,0,616
2.530821,61,465.497993,0.5911214953271028,2.5911214953271027,2,603
0.114768,53,483.970739,0.16736760124610592,0.16736760124610592,0,526
0.420872,59,500.285076,0.47897196261682246,0.47897196261682246,0,581
0.389449,72,519.885249,0.4614485981308411,0.4614485981308411,0,720
1.506972,72,539.136828,0.5789719626168224,1.5789719626168224,1,720
1.676131,72,558.724269,0.7481308411214953,1.7481308411214953,1,720
0.235454,56,574.09901,0.2906542056074766,0.2906542056074766,0,552
2.840695,72,594.753448,0.9126947040498442,2.9126947040498443,2,720
0.342397,72,614.289508,0.41409657320872273,0.41409657320872273,0,717
0.294206,60,634.695277,0.3542056074766355,0.3542056074766355,0,600
1.467408,72,654.303396,0.5394080996884735,1.5394080996884734,1,720
0.347107,59,670.115337,0.405607476635514,0.405607476635514,0,585
2.63205,72,689.876206,0.7040498442367601,2.70404984423676,2,720
1.441489,59,705.642808,0.5003894080996885,1.5003894080996885,1,589
2.565,69,724.388806,0.6330996884735203,2.6330996884735205,2,681
2.733094,63,741.816735,0.7957943925233645,2.7957943925233644,2,627
0.379556,63,758.848797,0.44205607476635517,0.44205607476635517,0,625
1.615383,72,877.731318,0.6873831775700935,1.6873831775700934,1,720
0.169116,68,896.668734,0.2369158878504673,0.2369158878504673,0,678
0.331996,66,915.731922,0.397196261682243,0.397196261682243,0,652
2.554012,72,937.127316,0.6260124610591901,2.62601246105919,2,720
2.659503,68,955.594398,0.7271028037383177,2.7271028037383176,2,676
0.362801,63,972.594855,0.42570093457943925,0.42570093457943925,0,629
2.627856,65,989.620461,0.6920560747663551,2.692056074766355,2,642
0.427143,72,1015.352801,0.49914330218068537,0.49914330218068537,0,720
2.58701,71,1034.917037,0.6577102803738317,2.6577102803738315,2,707
1.40666,72,1055.161667,0.47866043613707165,1.4786604361370717,1,720
2.572571,64,1072.807873,0.6363707165109034,2.6363707165109034,2,638
1.517953,72,1092.776578,0.5899532710280374,1.5899532710280373,1,720
3.9395,61,1110.610619,1.0,4.0,3,605
2.523593,71,1131.823757,0.594392523364486,2.594392523364486,2,708
2.804822,71,1151.366136,0.8749221183800623,2.8749221183800624,2,701
0.314827,64,1174.405164,0.3784267912772586,0.3784267912772586,0,636
0.319978,72,1195.189483,0.39197819314641746,0.39197819314641746,0,720
0.364217,66,1213.975657,0.4295171339563863,0.4295171339563863,0,653
2.467481,60,1230.811674,0.5271806853582555,2.5271806853582555,2,597
2.616456,68,1250.667372,0.6839563862928348,2.683956386292835,2,675
0.134249,53,1265.449811,0.1864485981308411,0.1864485981308411,0,522
2.831427,72,1287.011832,0.9034267912772586,2.9034267912772584,2,720
2.688358,72,1311.824284,0.7603582554517134,2.760358255451713,2,720
0.379439,59,1328.747489,0.43753894080996886,0.43753894080996886,0,581
1.731495,65,1346.246963,0.7964953271028037,1.7964953271028037,1,650
1.524078,60,1364.277169,0.5831775700934579,1.5831775700934578,1,591
0.321748,56,1380.224758,0.3776479750778816,0.3776479750778816,0,559
0.120182,58,1395.686482,0.1778816199376947,0.1778816199376947,0,577
1.50784,64,1413.402229,0.5713395638629284,1.5713395638629284,1,635
2.511572,68,1433.155447,0.5789719626168224,2.5789719626168224,2,674
0.374326,71,1452.604496,0.44462616822429907,0.44462616822429907,0,703
2.678341,61,1473.488713,0.7389408099688474,2.7389408099688475,2,606
2.687268,72,1494.067229,0.7592679127725857,2.759267912772586,2,720
2.816629,72,1514.279443,0.8886292834890965,2.8886292834890965,2,720
2.69124,72,1535.503398,0.7632398753894081,2.763239875389408,2,720
2.521737,57,1551.63216,0.5780373831775701,2.5780373831775703,2,563
2.508408,56,1567.604208,0.5644080996884735,2.5644080996884737,2,560
2.620601,72,1588.029716,0.692601246105919,2.692601246105919,2,720
2.487891,72,1613.158703,0.5598909657320872,2.5598909657320874,2,720
2.78237,71,1633.368726,0.8525700934579439,2.8525700934579437,2,702
0.429051,60,1753.963879,0.48855140186915885,0.48855140186915885,0,595
2.571658,55,1769.460054,0.6265576323987538,2.626557632398754,2,549
1.576754,72,1790.274088,0.6487538940809969,1.648753894080997,1,720
1.455525,64,1807.782349,0.5189252336448598,1.5189252336448598,1,634
2.707325,62,1824.727149,0.7689252336448598,2.7689252336448598,2,616
1.573405,72,1846.668266,0.645404984423676,1.645404984423676,1,720
0.393197,55,1865.921535,0.44789719626168223,0.44789719626168223,0,547
1.608268,68,1885.866052,0.6761682242990654,1.6761682242990654,1,679
0.434568,58,1902.309647,0.4923676012461059,0.4923676012461059,0,578
2.784776,72,1921.734708,0.8567757009345794,2.8567757009345796,2,720
1.44124,72,1942.214744,0.5132398753894081,1.513239875389408,1,720
2.683639,62,1959.55987,0.7456386292834891,2.745638629283489,2,620
2.77948,72,1980.146508,0.8514797507788162,2.8514797507788163,2,720
1.626676,72,2000.284795,0.6986760124610591,1.6986760124610591,1,720
0.43146,56,2020.100936,0.4867601246105919,0.4867601246105919,0,553
2.5829,68,2038.115333,0.65,2.65,2,671
2.900586,72,2058.593613,0.9725856697819315,2.9725856697819317,2,720
2.52029,72,2078.739843,0.5922897196261683,2.5922897196261685,2,720
