#{"t_start": 1779208300.470552, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,troop_damage_taken_pct,splash_damage_taken_pct,splash_cluster_risk_pct,multi_hit_splash_events,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total,splash_risk_penalty_total
2.907904,80,51.240198,hard,0.6817505720823799,2.6817505720823798,2,796,8,4,4,4,4,0,0,0,0,0.055371853546909974,0.04670329670329681,0.2092999999999952,0.7197802197802251,0.9999999999999961,6,True,167,0.12528169014084506,0.9244788732394367,0.6675774647887323,2.6859154929577467,26,65.0,42.0,0.07692307692307693,0.18461538461538463,0.1145020974334985,0.1193801487414185,0.26637362637362666,0.019380148741418492,0.1,0.08637362637362701,0.09999999999999962,0.030000000000000002,0.05,0.0,0.0,0.08
0.380557,76,92.706928,hard,0.3655434782608693,0.3655434782608693,0,760,8,4,4,4,4,0,0,0,0,0.006847826086956226,0.0,0.03989999999999828,0.2802197802197802,0.24989999999999826,2,False,130,0.09320422535211267,0.9364225352112673,0.7690422535211269,0.9085387323943662,36,65.0,39.0,0.12307692307692308,0.23076923076923078,-0.0,0.10239673913043468,0.06861637362637346,0.002396739130434679,0.1,0.033626373626373635,0.024989999999999832,0.01,0.0,0.0,0.0,0.08
2.780881,84,136.940856,hard,0.5986842105263158,2.598684210526316,2,840,8,4,4,4,4,0,0,0,0,0.03568077803203581,0.0,0.2078999999999953,0.5309065934065934,0.9999999999999959,4,True,130,0.09320422535211267,0.9260845070422546,0.7132957746478872,2.5205281690140846,27,65.0,39.0,0.06153846153846154,0.18461538461538463,0.09911748204888313,0.11248827231121254,0.2337087912087908,0.012488272311212531,0.1,0.06370879120879122,0.09999999999999959,0.02,0.05,0.0,0.0,0.08
0.403952,80,177.508585,hard,0.3891704805491992,0.3891704805491992,0,797,8,4,4,4,4,0,0,0,0,0.033398169336384294,0.025096153846154098,0.0,0.4399313186813176,0.0,2,False,140,0.1271830985915493,0.9663380281690188,0.6434929577464789,2.2657042253521125,30,65.0,41.0,0.09230769230769231,0.2153846153846154,0.05733775266807337,0.1116893592677345,0.06279175824175809,0.0116893592677345,0.1,0.052791758241758094,0.0,0.01,0.0,0.0,0.0,0.08
2.707687,78,216.892558,hard,0.5554004576659035,2.5554004576659035,2,780,8,4,4,4,4,0,0,0,0,0.011653318077802701,0.0,0.011899999999999487,0.359478021978022,1.0,3,True,96,0.06676056338028169,0.9547042253521122,0.6852957746478875,2.02,34,65.0,43.0,0.12307692307692308,0.23076923076923078,0.1956217818146278,0.10214908386244223,0.20813736263736266,0.0040786613272309445,0.09807042253521128,0.04313736263736264,0.1,0.015,0.05,0.0,0.0,0.08
0.334779,76,253.525302,hard,0.3266018306636155,0.3266018306636155,0,751,8,4,4,4,4,0,0,0,0,0.006006864988558275,0.0,0.013999999999999397,0.28598901098901097,0.07233333333333272,2,False,168,0.1428169014084507,0.9211267605633824,0.8429295774647901,0.3518838028169014,28,65.0,47.0,0.06153846153846154,0.16923076923076924,0.1145020974334985,0.1021024027459954,0.05155201465201458,0.0021024027459953963,0.1,0.03431868131868131,0.007233333333333274,0.01,0.0,0.0,0.0,0.07037676056338028
0.325409,78,299.58115,hard,0.33528604118993144,0.33528604118993144,0,779,8,4,4,4,4,0,0,0,0,0.0021624713958810307,0.0051923076923077495,0.0,0.3105494505494503,0.0,2,False,106,0.07841549295774648,0.9380281690140874,0.5473239436619717,0.9962323943661971,18,65.0,44.0,0.07692307692307693,0.18461538461538463,0.15610566617587138,0.10075686498855836,0.047265934065934025,0.0007568649885583607,0.1,0.03726593406593402,0.0,0.01,0.0,0.0,0.0,0.08
1.619908,78,337.020539,hard,0.4797597254004577,1.4797597254004577,1,772,8,4,4,4,4,0,0,0,0,0.02258581235697916,0.0005769230769230521,0.13019999999999862,0.24535714285714283,0.9999999999999961,2,True,120,0.10394366197183098,0.9364225352112684,0.7309014084507042,1.6990140845070423,27,65.0,44.0,0.06153846153846154,0.15384615384615385,0.09911748204888313,0.10790503432494271,0.18944285714285675,0.007905034324942705,0.1,0.029442857142857142,0.0999999999999996,0.01,0.05,0.0,0.0,0.08
1.644387,76,372.930809,hard,0.47084668192219675,1.4708466819221968,1,757,8,4,4,4,4,0,0,0,0,0.021985125858123584,0.04990384615384631,0.006999999999999698,0.47120879120878917,1.0,3,True,96,0.09480633802816901,0.9236056338028177,0.6769577464788732,2.5314084507042254,28,65.0,45.0,0.06153846153846154,0.15384615384615385,0.15610566617587138,0.10769479405034325,0.22154505494505466,0.0076947940503432535,0.1,0.05654505494505469,0.1,0.015,0.05,0.0,0.0,0.08
1.591235,79,410.277783,hard,0.5495995423340961,1.549599542334096,1,786,8,4,4,4,4,0,0,0,0,0.018981693363844452,0.008653846153846146,0.0,0.5432692307692304,0.084,4,False,168,0.1428169014084507,0.963915492957748,0.6696901408450701,3.7760035211267606,24,65.0,44.0,0.1076923076923077,0.2,-0.0,0.10664359267734556,0.09359230769230767,0.006643592677345558,0.1,0.06519230769230766,0.008400000000000001,0.02,0.0,0.0,0.0,0.08
2.793539,100,457.069347,hard,0.6238558352402745,2.6238558352402745,2,1000,8,4,4,4,4,0,0,0,0,0.05491990846681866,0.034615384615384784,0.09799999999999577,0.5038461538461522,1.0,4,True,164,0.15126760563380282,0.920591549295775,0.7862816901408448,2.305193661971831,33,65.0,50.0,0.06153846153846154,0.15384615384615385,0.3249387093201824,0.11922196796338652,0.23046153846153827,0.019221967963386523,0.1,0.06046153846153826,0.1,0.02,0.05,0.0,0.0,0.08
0.44472,81,495.289122,hard,0.42259725400457665,0.42259725400457665,0,803,8,4,4,4,4,0,0,0,0,0.0,0.0,0.0,0.5201923076923077,0.0,4,False,115,0.10450704225352113,0.9154929577464822,0.5007042253521125,1.3785035211267607,22,65.0,46.0,0.06153846153846154,0.15384615384615385,0.15610566617587138,0.1,0.08242307692307693,0.0,0.1,0.06242307692307693,0.0,0.02,0.0,0.0,0.0,0.08
0.325036,76,540.343623,hard,0.33098398169336374,0.33098398169336374,0,751,8,4,4,4,4,0,0,0,0,0.0019221967963385898,0.0,0.011199999999999518,0.2802197802197802,0.048533333333332845,2,False,96,0.09845070422535211,0.9276338028169016,0.8481971830985912,1.5789964788732394,45,65.0,46.0,0.06153846153846154,0.16923076923076924,0.15610566617587138,0.10067276887871851,0.04847970695970692,0.0006727688787185064,0.1,0.033626373626373635,0.004853333333333285,0.01,0.0,0.0,0.0,0.08
0.411135,78,577.810007,hard,0.3799313501144161,0.3799313501144161,0,775,8,4,4,4,4,0,0,0,0,0.02486842105263125,0.021634615384615512,0.0,0.49999999999999895,0.0,4,False,163,0.14464788732394365,0.9235492957746494,0.6868732394366195,1.2091901408450705,32,65.0,40.0,0.07692307692307693,0.18461538461538463,0.13491422385153698,0.10870394736842094,0.07999999999999986,0.008703947368420938,0.1,0.059999999999999866,0.0,0.02,0.0,0.0,0.0,0.08
0.227145,74,613.073432,hard,0.23329519450800915,0.23329519450800915,0,737,8,4,4,4,4,0,0,0,0,0.0,0.0,0.0,0.3129120879120879,0.0,2,False,126,0.09619718309859154,0.9485633802816916,0.7750985915492962,0.9817605633802817,35,65.0,41.0,0.12307692307692308,0.24615384615384617,0.22338824700260326,0.1,0.04754945054945055,0.0,0.1,0.037549450549450546,0.0,0.01,0.0,0.0,0.0,0.08
0.486263,77,650.667913,hard,0.43951945080091465,0.43951945080091465,0,763,8,4,4,4,4,0,0,0,0,0.01657894736842034,0.0,0.09659999999999584,0.3767857142857143,0.44659999999999583,3,False,96,0.059154929577464786,0.926760563380281,0.7736338028169008,1.6785915492957746,45,65.0,40.0,0.1076923076923077,0.2153846153846154,0.15610566617587138,0.09816882876204572,0.1048742857142853,0.005802631578947118,0.0923661971830986,0.04521428571428572,0.044659999999999575,0.015,0.0,0.0,0.0,0.08
0.491722,78,688.359274,hard,0.4466247139588101,0.4466247139588101,0,772,8,4,4,4,4,0,0,0,0,0.03700228832951967,0.021634615384615512,0.0,0.5778846153846142,0.0,4,False,130,0.09859154929577464,0.9566197183098601,0.7576338028169014,1.6415492957746478,40,65.0,50.0,0.046153846153846156,0.12307692307692308,0.05733775266807337,0.11295080091533188,0.08934615384615373,0.012950800915331883,0.1,0.06934615384615372,0.0,0.02,0.0,0.0,0.0,0.08
0.386566,77,726.247375,hard,0.37202517162471394,0.37202517162471394,0,766,8,4,4,4,4,0,0,0,0,0.023684210526315835,0.0,0.0,0.3987637362637363,0.0,3,False,120,0.08704225352112677,0.9476901408450719,0.8511830985915504,1.2275,35,65.0,42.0,0.07692307692307693,0.16923076923076924,0.24645788980805483,0.10828947368421055,0.06285164835164836,0.008289473684210543,0.1,0.04785164835164836,0.0,0.015,0.0,0.0,0.0,0.08
1.6352,79,764.380491,hard,0.49011441647597237,1.4901144164759723,1,784,8,4,4,4,4,0,0,0,0,0.015858123569793926,0.006923076923076905,0.0,0.3161263736263733,1.0,2,True,145,0.08950704225352113,0.9423098591549297,0.6017183098591545,1.6531866197183098,21,65.0,47.0,0.07692307692307693,0.2,0.17149028156048673,0.10555034324942787,0.19793516483516482,0.005550343249427873,0.1,0.0379351648351648,0.1,0.01,0.05,0.0,0.0,0.08
0.359271,78,809.07601,hard,0.3772940503432495,0.3772940503432495,0,772,8,4,4,4,4,0,0,0,0,0.01285469107551494,0.030000000000000148,0.0,0.4904945054945042,0.0,3,False,60,0.041091549295774646,0.9546478873239462,0.6477746478873238,1.2415140845070423,34,65.0,41.0,0.12307692307692308,0.24615384615384617,0.09911748204888313,0.06531780384826122,0.0738593406593405,0.004499141876430229,0.06081866197183099,0.05885934065934049,0.0,0.015,0.0,0.0,0.0,0.08
0.393161,80,846.870794,hard,0.34417620137299726,0.34417620137299726,0,798,8,4,4,4,4,0,0,0,0,0.02234553775743667,0.027115384615384767,0.06439999999999722,0.4449175824175814,0.32573333333333054,3,False,119,0.09568661971830986,0.9251549295774665,0.7948450704225346,0.9629401408450704,45,65.0,46.0,0.09230769230769231,0.2153846153846154,0.1956217818146278,0.10782093821510284,0.10096344322344282,0.007820938215102834,0.1,0.05339010989010977,0.03257333333333306,0.015,0.0,0.0,0.0,0.08
1.531876,81,884.609206,hard,0.5192448512585812,1.5192448512585812,1,807,8,4,4,4,4,0,0,0,0,0.024164759725400484,0.0,0.00279999999999988,0.5,0.012133333333333211,4,False,61,0.07088028169014085,0.9823661971830985,0.7108169014084508,2.5410035211267608,35,65.0,43.0,0.09230769230769231,0.18461538461538463,0.13491422385153698,0.0921178771714958,0.08121333333333333,0.008457665903890167,0.08366021126760563,0.060000000000000005,0.0012133333333333213,0.02,0.0,0.0,0.0,0.08
0.473377,84,924.299211,hard,0.47139588100686497,0.47139588100686497,0,837,8,4,4,4,4,0,0,0,0,0.011052631578947406,0.0,0.0,0.3901098901098901,0.0,3,False,168,0.14661971830985915,0.9494366197183106,0.7168169014084506,2.3463732394366197,30,65.0,45.0,0.07692307692307693,0.16923076923076924,0.24835065083211508,0.1038684210526316,0.06181318681318681,0.0038684210526315917,0.1,0.04681318681318681,0.0,0.015,0.0,0.0,0.0,0.08
0.227016,75,959.32152,hard,0.2420537757437068,0.2420537757437068,0,745,8,4,4,4,4,0,0,0,0,0.0073283752860409295,0.0031730769230769217,0.0,0.2658104395604394,0.0,1,False,167,0.13235915492957748,0.9492957746478908,0.6598873239436619,0.7692429577464789,29,65.0,44.0,0.06153846153846154,0.16923076923076924,0.05733775266807337,0.10256493135011432,0.03689725274725274,0.002564931350114325,0.1,0.03189725274725274,0.0,0.005,0.0,0.0,0.0,0.08
2.735107,79,996.26078,hard,0.5642848970251716,2.5642848970251717,2,781,8,4,4,4,4,0,0,0,0,0.025005720823798698,0.026250000000000065,0.0,0.4483104395604383,1.0,4,True,93,0.06649647887323944,0.9398309859154927,0.8265915492957743,3.030968309859155,52,65.0,37.0,0.07692307692307693,0.2,0.05733775266807337,0.10512436144325912,0.2237972527472526,0.008752002288329543,0.09637235915492957,0.053797252747252604,0.1,0.02,0.05,0.0,0.0,0.08
0.281529,75,1039.434628,hard,0.30281464530892455,0.30281464530892455,0,747,8,4,4,4,4,0,0,0,0,0.0014416475972540204,0.0034615384615384994,0.0,0.23258241758241743,0.0,1,False,116,0.08457746478873239,0.9504225352112697,0.6173239436619714,0.8404225352112676,26,65.0,47.0,0.06153846153846154,0.16923076923076924,0.15610566617587138,0.10050457665903892,0.032909890109890094,0.0005045766590389071,0.1,0.027909890109890093,0.0,0.005,0.0,0.0,0.0,0.08
