#{"t_start": 1779208299.895842, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,troop_damage_taken_pct,splash_damage_taken_pct,splash_cluster_risk_pct,multi_hit_splash_events,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total,splash_risk_penalty_total
0.467757,80,51.808911,hard,0.38414187643020486,0.38414187643020486,0,793,8,4,4,4,4,0,0,0,0,0.034118993135010336,0.01615384615384616,0.15959999999999352,0.39010989010988933,0.6915999999999931,3,False,144,0.11873239436619719,0.957492957746479,0.8524788732394365,1.1837147887323944,35,65.0,44.0,0.06153846153846154,0.15384615384615385,0.16676100196548832,0.11194164759725363,0.13097318681318604,0.011941647597253616,0.1,0.04681318681318673,0.06915999999999932,0.015,0.0,0.0,0.0,0.08
2.73803,81,95.50039,hard,0.5400572082379862,2.540057208237986,2,802,8,4,4,4,4,0,0,0,0,0.01910183066361565,0.04586538461538482,0.0,0.6373901098901109,1.0,5,True,192,0.1707042253521127,0.9332112676056357,0.7712957746478875,2.5316725352112677,37,65.0,43.0,0.07692307692307693,0.18461538461538463,0.13491422385153698,0.10668564073226548,0.2514868131868133,0.006685640732265475,0.1,0.07648681318681329,0.1,0.025,0.05,0.0,0.0,0.08
1.717248,79,137.512253,hard,0.5843020594965667,1.5843020594965667,1,782,8,4,4,4,4,0,0,0,0,0.03435926773455301,0.0,0.20019999999999555,0.5,0.9911999999999913,4,False,142,0.1126056338028169,0.919521126760563,0.76656338028169,2.2241725352112676,42,65.0,40.0,0.07692307692307693,0.2153846153846154,-0.0,0.11202574370709356,0.1791199999999991,0.012025743707093552,0.1,0.059999999999999984,0.09911999999999914,0.02,0.0,0.0,0.0,0.08
2.716415,73,174.809806,hard,0.5240846681922197,2.5240846681922195,2,728,8,4,4,4,4,0,0,0,0,0.01441647597254007,0.03115384615384636,0.0,0.5840384615384611,1.0,4,True,132,0.11679577464788732,0.9267605633802838,0.5662816901408448,1.4654929577464788,18,65.0,42.0,0.15384615384615385,0.26153846153846155,0.27983052257308394,0.10504576659038903,0.24008461538461534,0.005045766590389024,0.1,0.07008461538461533,0.1,0.02,0.05,0.0,0.0,0.08
0.314898,82,216.110578,hard,0.3112128146453089,0.3112128146453089,0,816,8,4,4,4,4,0,0,0,0,0.008409610983981726,0.02019230769230777,0.0,0.49999999999999906,0.0,4,False,75,0.0597887323943662,0.9526478873239451,0.7248169014084505,1.3507922535211268,36,65.0,47.0,0.07692307692307693,0.16923076923076924,0.24645788980805483,0.08528491314016824,0.07999999999999988,0.0029433638443936037,0.08234154929577464,0.05999999999999988,0.0,0.02,0.0,0.0,0.0,0.08
1.538581,79,254.097824,hard,0.5180663615560641,1.5180663615560641,1,788,8,4,4,4,4,0,0,0,0,0.010572082379862771,0.025384615384615554,0.0,0.49928571428571317,0.007,3,False,99,0.07790492957746478,0.9267605633802821,0.8374084507042258,2.607007042253521,45,65.0,48.0,0.07692307692307693,0.16923076923076924,0.13491422385153698,0.10370022883295198,0.07561428571428558,0.00370022883295197,0.1,0.05991428571428559,0.0007000000000000001,0.015,0.0,0.0,0.0,0.08
2.820201,84,302.909301,hard,0.6350686498855835,2.6350686498855835,2,837,8,4,4,4,4,0,0,0,0,0.033037757437070735,0.05221153846153871,0.0,0.5605769230769208,1.0,4,True,147,0.126056338028169,0.9195211267605655,0.791070422535212,2.4277288732394364,32,65.0,41.0,0.15384615384615385,0.26153846153846155,-0.0,0.11156321510297476,0.23726923076923045,0.011563215102974755,0.1,0.06726923076923047,0.1,0.02,0.05,0.0,0.0,0.08
1.690184,77,339.920855,hard,0.5641189931350103,1.5641189931350103,1,766,8,4,4,4,4,0,0,0,0,0.04372997711670383,0.021923076923077055,0.201599999999994,0.49999999999999895,0.8735999999999913,4,False,120,0.08704225352112677,0.9574929577464787,0.7693239436619717,4.4117781690140845,28,65.0,48.0,0.06153846153846154,0.16923076923076924,0.09911748204888313,0.11530549199084635,0.16735999999999898,0.015305491990846338,0.1,0.059999999999999866,0.08735999999999913,0.02,0.0,0.0,0.0,0.08
0.373863,80,377.576984,hard,0.3438501144164759,0.3438501144164759,0,791,8,4,4,4,4,0,0,0,0,0.00516590389016005,0.005192307692307686,0.0,0.5336538461538459,0.03266666666666666,4,False,231,0.18600352112676055,0.9292394366197196,0.596225352112676,0.7479753521126761,25,65.0,44.0,0.12307692307692308,0.23076923076923078,0.19172340579500008,0.10180806636155602,0.08730512820512819,0.0018080663615560174,0.1,0.06403846153846152,0.003266666666666667,0.02,0.0,0.0,0.0,0.08
2.640448,72,411.717591,hard,0.5493363844393594,2.5493363844393593,2,720,6,2,4,2,4,0,0,0,2,0.01129290617848978,0.004038461538461583,0.05600000000000035,0.41241758241758225,0.9999999999999972,3,True,88,0.054225352112676053,0.9236056338028162,0.7119999999999999,2.568943661971831,42,65.0,42.0,0.06153846153846154,0.16923076923076924,0.13491422385153698,0.02862153124697847,0.21449010989010958,0.003952517162471423,0.08466901408450704,0.04949010989010988,0.09999999999999973,0.015,0.05,0.0,0.06,0.08
