#{"t_start": 1779208300.7758648, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,troop_damage_taken_pct,splash_damage_taken_pct,splash_cluster_risk_pct,multi_hit_splash_events,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total,splash_risk_penalty_total
1.501437,73,48.721968,hard,0.508157894736842,1.5081578947368421,1,727,7,3,4,3,4,0,0,0,1,0.010211670480549164,0.024519230769230682,0.0,0.4783791208791198,0.0,3,False,228,0.18306338028169014,0.9582253521126776,0.7394366197183097,0.696830985915493,23,65.0,38.0,0.07692307692307693,0.2153846153846154,0.15610566617587138,0.07357408466819221,0.07240549450549437,0.003574084668192207,0.1,0.05740549450549437,0.0,0.015,0.0,0.0,0.03,0.08
0.379058,79,90.814487,hard,0.3684210526315789,0.3684210526315789,0,784,8,4,4,4,4,0,0,0,0,0.0206407322654463,0.016730769230769313,0.0,0.3901098901098893,0.0,3,False,85,0.09721830985915493,0.9380281690140871,0.5366197183098589,1.4338732394366198,41,65.0,45.0,0.07692307692307693,0.18461538461538463,0.16676100196548832,0.10722425629290622,0.06181318681318671,0.007224256292906206,0.1,0.04681318681318671,0.0,0.015,0.0,0.0,0.0,0.08
1.633913,81,133.080397,hard,0.5328032036613262,1.5328032036613262,1,807,8,4,4,4,4,0,0,0,0,0.036275743707092634,0.02104395604395592,0.14979999999999383,0.4999999999999992,0.6911333333333268,4,False,180,0.15839788732394366,0.9750704225352111,0.8411549295774645,2.878468309859155,38,65.0,43.0,0.06153846153846154,0.16923076923076924,-0.0,0.11269651029748243,0.1491133333333326,0.01269651029748242,0.1,0.05999999999999991,0.0691133333333327,0.02,0.0,0.0,0.0,0.08
0.133996,74,171.203851,hard,0.30097254004576657,0.30097254004576657,0,740,4,0,4,0,4,0,0,0,4,0.0,0.0,0.0,0.16085164835164836,0.16333333333333333,1,False,69,0.042517605633802816,0.9267605633802825,0.7339436619718313,1.3738204225352113,29,65.0,46.0,0.1076923076923077,0.2153846153846154,-0.0,-0.05361179577464789,0.04063553113553114,0.0,0.0663882042253521,0.0193021978021978,0.016333333333333335,0.005,0.0,0.0,0.12,0.08
0.256685,76,209.549562,hard,0.2488100686498856,0.2488100686498856,0,757,8,4,4,4,4,0,0,0,0,0.007065217391304394,0.010096153846153958,0.0,0.27612637362637316,0.17966666666666667,2,False,90,0.09038732394366197,0.9469577464788759,0.7467887323943668,0.7846830985915493,39,65.0,43.0,0.1076923076923077,0.23076923076923078,0.16676100196548832,0.10247282608695654,0.061101831501831454,0.0024728260869565383,0.1,0.033135164835164786,0.01796666666666667,0.01,0.0,0.0,0.0,0.08
0.429581,99,256.717994,hard,0.4494279176201373,0.4494279176201373,0,984,8,4,4,4,4,0,0,0,0,0.00877002288329488,0.0037499999999999973,0.0,0.33736263736263716,0.0,3,False,157,0.10711267605633802,0.9405070422535217,0.6410704225352113,1.4679577464788733,32,65.0,45.0,0.12307692307692308,0.23076923076923078,0.19172340579500008,0.10306950800915321,0.05548351648351645,0.003069508009153208,0.1,0.04048351648351645,0.0,0.015,0.0,0.0,0.0,0.08
0.265426,73,300.625801,hard,0.3315846681922197,0.3315846681922197,0,724,6,2,4,2,4,0,0,0,2,0.00012013729977116189,0.0002884615384615261,0.0,0.3016620879120879,0.0,2,False,147,0.11295774647887324,0.9576056338028183,0.73143661971831,2.233961267605634,34,65.0,41.0,0.12307692307692308,0.23076923076923078,0.13491422385153698,0.04004204805491991,0.046199450549450544,4.204805491990666e-05,0.1,0.03619945054945054,0.0,0.01,0.0,0.0,0.06,0.08
3.02012,86,341.589118,hard,0.7975400457665904,2.79754004576659,2,856,8,4,4,4,4,0,0,0,0,0.048129290617848805,0.04950549450549477,0.08190000000000049,0.7611263736263765,0.9999999999999959,6,True,164,0.1435211267605634,0.9292394366197181,0.7388732394366193,3.644718309859155,33,65.0,41.0,0.07692307692307693,0.16923076923076924,-0.0,0.11684525171624709,0.27133516483516484,0.01684525171624708,0.1,0.0913351648351652,0.09999999999999962,0.030000000000000002,0.05,0.0,0.0,0.08
1.633115,77,377.987642,hard,0.5319679633867272,1.5319679633867271,1,763,8,4,4,4,4,0,0,0,0,0.020183066361555545,0.0,0.11759999999999697,0.4449175824175824,0.8199333333333282,3,False,175,0.15313380281690142,0.9492957746478885,0.6632676056338028,2.0364612676056337,29,65.0,44.0,0.06153846153846154,0.18461538461538463,0.15610566617587138,0.10706407322654445,0.15038344322344271,0.007064073226544441,0.1,0.05339010989010989,0.08199333333333284,0.015,0.0,0.0,0.0,0.08
2.812212,97,423.732141,hard,0.631578947368421,2.6315789473684212,2,963,8,4,4,4,4,0,0,0,0,0.02498855835240285,0.060000000000000255,0.0,0.6098901098901072,1.0,5,True,106,0.08605633802816902,0.9774647887323961,0.6676056338028163,2.701549295774648,33,65.0,46.0,0.046153846153846156,0.13846153846153847,0.05733775266807337,0.108745995423341,0.24818681318681285,0.008745995423340997,0.1,0.07318681318681286,0.1,0.025,0.05,0.0,0.0,0.08
