#{"t_start": 1779208300.4522421, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,troop_damage_taken_pct,splash_damage_taken_pct,splash_cluster_risk_pct,multi_hit_splash_events,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total,splash_risk_penalty_total
2.976711,85,53.600775,hard,0.7754977116704805,2.7754977116704804,2,847,8,4,4,4,4,0,0,0,0,0.016939359267734697,0.013557692307692456,0.0,0.7082005494505518,1.0,5,True,165,0.10547535211267606,0.9413802816901411,0.6524788732394369,5.566056338028169,29,65.0,48.0,0.06153846153846154,0.16923076923076924,0.3207000779188489,0.10592877574370715,0.2599840659340662,0.005928775743707143,0.1,0.0849840659340662,0.1,0.025,0.05,0.0,0.0,0.08
0.310532,76,94.945937,hard,0.3007665903890157,0.3007665903890157,0,752,8,4,4,4,4,0,0,0,0,0.007688787185354359,0.0,0.0,0.39395604395604394,0.0,3,False,145,0.12973591549295774,0.9420563380281698,0.7333802816901411,0.8406866197183098,40,65.0,42.0,0.07692307692307693,0.18461538461538463,0.1956217818146278,0.10269107551487403,0.06227472527472528,0.002691075514874026,0.1,0.04727472527472528,0.0,0.015,0.0,0.0,0.0,0.08
1.612148,77,136.048349,hard,0.4698512585812357,1.4698512585812358,1,764,8,4,4,4,4,0,0,0,0,0.015617848970251735,0.03750000000000005,0.0,0.4688186813186797,1.0,2,True,80,0.04929577464788732,0.9154929577464824,0.6770985915492962,1.9337147887323944,23,65.0,36.0,0.1076923076923077,0.26153846153846155,-0.0,0.0824380781255036,0.2162582417582416,0.005466247139588107,0.0769718309859155,0.05625824175824157,0.1,0.01,0.05,0.0,0.0,0.08
1.650559,80,176.538083,hard,0.4806979405034324,1.4806979405034324,1,794,8,4,4,4,4,0,0,0,0,0.013935926773455336,0.03346153846153836,0.0,0.4948626373626359,1.0,3,True,116,0.07147887323943662,0.9154929577464805,0.8640000000000012,1.9018661971830986,46,65.0,50.0,0.07692307692307693,0.15384615384615385,0.09911748204888313,0.10487757437070937,0.2243835164835163,0.004877574370709368,0.1,0.05938351648351631,0.1,0.015,0.05,0.0,0.0,0.08
0.377075,100,225.907654,hard,0.38729977116704806,0.38729977116704806,0,1000,8,4,4,4,4,0,0,0,0,0.007208237986270049,0.01730769230769237,0.0,0.43543956043955967,0.0,3,False,154,0.0948943661971831,0.8971830985915505,0.6754084507042253,1.5279049295774647,35,65.0,46.0,0.09230769230769231,0.2,0.1145020974334985,0.10252288329519452,0.06725274725274713,0.0025228832951945173,0.1,0.05225274725274714,0.0,0.015,0.0,0.0,0.0,0.08
0.39952,81,264.897913,hard,0.4108695652173913,0.4108695652173913,0,804,8,4,4,4,4,0,0,0,0,0.027648741418764392,0.0,0.0,0.24478021978021977,0.0,2,False,182,0.14816901408450706,0.9323943661971845,0.8001126760563384,2.2798063380281692,39,65.0,42.0,0.07692307692307693,0.2,0.23296603544749966,0.10967705949656754,0.03937362637362637,0.009677059496567537,0.1,0.02937362637362637,0.0,0.01,0.0,0.0,0.0,0.08
0.257436,75,309.799031,hard,0.2986498855835237,0.2986498855835237,0,743,7,3,4,3,4,0,0,0,1,0.00648741418764274,0.0,0.03779999999999837,0.14835164835164835,0.1801333333333317,1,False,140,0.11028169014084507,0.9154929577464798,0.8407323943661981,1.9489788732394366,47,65.0,44.0,0.06153846153846154,0.15384615384615385,0.09911748204888313,0.07227059496567496,0.04081553113553097,0.0022705949656749596,0.1,0.017802197802197803,0.01801333333333317,0.005,0.0,0.0,0.03,0.08
0.557395,84,349.677738,hard,0.4476086956521733,0.4476086956521733,0,831,8,4,4,4,4,0,0,0,0,0.03832379862700181,0.05971153846153871,0.07839999999999661,0.49999999999999734,0.79473333333333,4,False,101,0.0822887323943662,0.9911549295774646,0.7210985915492956,2.23306338028169,30,65.0,46.0,0.06153846153846154,0.15384615384615385,0.05733775266807337,0.11341332951945064,0.1594733333333327,0.013413329519450635,0.1,0.059999999999999686,0.07947333333333301,0.02,0.0,0.0,0.0,0.08
0.44106,79,386.751986,hard,0.41418764302059496,0.41418764302059496,0,783,8,4,4,4,4,0,0,0,0,0.0147768878718536,0.0,0.0,0.5,0.0,4,False,144,0.11492957746478873,0.946084507042254,0.6748450704225349,1.4828697183098591,32,65.0,42.0,0.09230769230769231,0.2,0.15610566617587138,0.10517191075514877,0.08,0.005171910755148759,0.1,0.06,0.0,0.02,0.0,0.0,0.0,0.08
2.709136,82,425.857975,hard,0.5445080091533181,2.544508009153318,2,818,8,4,4,4,4,0,0,0,0,0.03808352402745882,0.024519230769230935,0.11899999999999486,0.40082417582417496,1.0,3,True,106,0.07841549295774648,0.9260845070422553,0.7526197183098592,1.838573943661972,35,65.0,46.0,0.06153846153846154,0.16923076923076924,0.16676100196548832,0.1133292334096106,0.213098901098901,0.013329233409610588,0.1,0.04809890109890099,0.1,0.015,0.05,0.0,0.0,0.08
2.745241,78,462.757275,hard,0.5505949656750572,2.550594965675057,2,776,8,4,4,4,4,0,0,0,0,0.012494279176201373,0.026826923076923217,0.0,0.6489423076923109,1.0,4,True,110,0.0754225352112676,0.9317183098591565,0.6158873239436619,1.0245598591549296,32,65.0,48.0,0.07692307692307693,0.16923076923076924,0.13491422385153698,0.10437299771167048,0.2478730769230773,0.00437299771167048,0.1,0.07787307692307731,0.1,0.02,0.05,0.0,0.0,0.08
1.538343,96,508.237918,hard,0.5226887871853546,1.5226887871853547,1,954,8,4,4,4,4,0,0,0,0,0.024405034324942804,0.0,0.004199999999999819,0.5057692307692307,0.018199999999999817,4,False,192,0.1707042253521127,0.9469014084507063,0.7479999999999998,3.5641549295774646,35,65.0,46.0,0.07692307692307693,0.2,0.26444590718846855,0.10854176201372999,0.08251230769230768,0.00854176201372998,0.1,0.06069230769230769,0.0018199999999999818,0.02,0.0,0.0,0.0,0.08
1.615094,78,554.317774,hard,0.4887299771167048,1.4887299771167049,1,777,8,4,4,4,4,0,0,0,0,0.051178489702516344,0.022788461538461712,0.21839999999999482,0.25920329670329595,0.9999999999999961,2,True,78,0.04806338028169014,0.9211267605633814,0.7727887323943666,1.477024647887324,47,65.0,42.0,0.09230769230769231,0.2,0.05733775266807337,0.09296000660714832,0.19110439560439513,0.01791247139588072,0.0750475352112676,0.03110439560439551,0.09999999999999962,0.01,0.05,0.0,0.0,0.08
0.437735,83,594.250965,hard,0.41919908466819195,0.41919908466819195,0,825,8,4,4,4,4,0,0,0,0,0.025589244851257943,0.0,0.0,0.3901098901098901,0.10266666666666667,3,False,168,0.14661971830985915,0.938225352112676,0.6868450704225347,0.9824295774647888,33,65.0,44.0,0.07692307692307693,0.16923076923076924,0.25206405738510845,0.10895623569794029,0.07207985347985349,0.00895623569794028,0.1,0.04681318681318683,0.010266666666666667,0.015,0.0,0.0,0.0,0.08
0.395257,77,630.990603,hard,0.37332951945080095,0.37332951945080095,0,766,8,4,4,4,4,0,0,0,0,0.03423913043478244,0.0,0.0,0.429532967032967,0.0,3,False,137,0.1198943661971831,0.9541971830985918,0.6709859154929576,1.6498591549295774,31,65.0,51.0,0.06153846153846154,0.16923076923076924,0.16676100196548832,0.11198369565217386,0.06654395604395605,0.011983695652173854,0.1,0.05154395604395604,0.0,0.015,0.0,0.0,0.0,0.08
0.256935,80,669.829098,hard,0.19525743707093823,0.19525743707093823,0,795,8,4,4,4,4,0,0,0,0,0.0037242562929062067,0.00894230769230776,0.0,0.3294093406593407,0.0,1,False,119,0.09623239436619718,0.9663380281690168,0.7347887323943667,0.023274647887323942,2,65.0,52.0,0.06153846153846154,0.16923076923076924,0.7348522307816882,0.10130348970251718,0.04452912087912089,0.0013034897025171722,0.1,0.039529120879120895,0.0,0.005,0.0,0.0,0.0,0.004654929577464789
0.362766,80,708.827747,hard,0.3603546910755149,0.3603546910755149,0,791,8,4,4,4,4,0,0,0,0,0.020062929061784585,0.0,0.0,0.37074175824175826,0.0,2,False,96,0.08915492957746479,0.9292394366197193,0.8348169014084513,0.8897359154929577,45,65.0,47.0,0.07692307692307693,0.18461538461538463,0.05733775266807337,0.10702202517162461,0.054489010989010975,0.007022025171624604,0.1,0.04448901098901097,0.0,0.01,0.0,0.0,0.0,0.08
2.756891,92,753.792166,hard,0.5930778032036613,2.5930778032036614,2,913,8,4,4,4,4,0,0,0,0,0.024782608695651333,0.012774725274725283,0.1133999999999951,0.4703296703296697,1.0,4,True,143,0.08811619718309859,0.9179718309859166,0.659943661971831,2.728204225352113,27,65.0,44.0,0.12307692307692308,0.2153846153846154,0.19172340579500008,0.10867391304347797,0.22643956043956032,0.008673913043477966,0.1,0.056439560439560325,0.1,0.02,0.05,0.0,0.0,0.08
0.386002,100,809.095055,hard,0.4003203661327228,0.4003203661327228,0,1000,8,4,4,4,4,0,0,0,0,0.011052631578947019,0.007499999999999988,0.0,0.3901098901098898,0.0,3,False,168,0.15422535211267605,0.9052957746478872,0.6787323943661971,0.7287323943661972,40,65.0,41.0,0.07692307692307693,0.23076923076923078,0.15610566617587138,0.10386842105263146,0.061813186813186774,0.003868421052631457,0.1,0.046813186813186775,0.0,0.015,0.0,0.0,0.0,0.08
0.383503,78,845.997862,hard,0.3704233409610984,0.3704233409610984,0,776,8,4,4,4,4,0,0,0,0,0.023684210526315835,0.0,0.0,0.3949175824175824,0.0,3,False,157,0.13931338028169013,0.9476901408450722,0.7520845070422532,1.1894014084507043,32,65.0,39.0,0.15384615384615385,0.2923076923076923,0.09911748204888313,0.10828947368421055,0.06239010989010988,0.008289473684210543,0.1,0.04739010989010988,0.0,0.015,0.0,0.0,0.0,0.08
0.505616,80,883.286921,hard,0.4686327231121279,0.4686327231121279,0,799,8,4,4,4,4,0,0,0,0,0.00901029748283722,0.0040384615384615585,0.04269999999999816,0.5044780219780218,0.30636666666666484,3,False,91,0.05607394366197183,0.9267605633802839,0.7761408450704234,3.017200704225352,27,65.0,43.0,0.1076923076923077,0.2,0.19172340579500008,0.09070906186547191,0.10617402930402908,0.0031536041189930268,0.08755545774647888,0.0605373626373626,0.030636666666666482,0.015,0.0,0.0,0.0,0.08
2.760109,82,921.844552,hard,0.585812356979405,2.585812356979405,2,818,8,4,4,4,4,0,0,0,0,0.017419908466818783,0.017307692307692215,0.0,0.4999999999999994,1.0,4,True,108,0.09929577464788733,0.9758591549295768,0.7629577464788733,2.883644366197183,30,65.0,46.0,0.07692307692307693,0.16923076923076924,0.09911748204888313,0.10609696796338658,0.22999999999999993,0.006096967963386574,0.1,0.059999999999999915,0.1,0.02,0.05,0.0,0.0,0.08
0.402453,75,957.056671,hard,0.38804347826086955,0.38804347826086955,0,749,8,4,4,4,4,0,0,0,0,0.0052631578947368455,0.0,0.0,0.4372252747252747,0.0,3,False,96,0.10225352112676056,0.9285070422535211,0.7690704225352115,1.2655633802816901,49,65.0,42.0,0.09230769230769231,0.23076923076923078,0.22338824700260326,0.1018421052631579,0.06746703296703296,0.0018421052631578958,0.1,0.05246703296703296,0.0,0.015,0.0,0.0,0.0,0.08
0.402698,80,994.395962,hard,0.3820366132723112,0.3820366132723112,0,799,8,4,4,4,4,0,0,0,0,0.042356979405034335,0.032197802197802015,0.0,0.4228021978021966,0.0,3,False,145,0.12154929577464789,0.9211267605633828,0.5737183098591545,1.7123415492957748,21,65.0,41.0,0.06153846153846154,0.18461538461538463,0.19172340579500008,0.11482494279176203,0.06573626373626358,0.014824942791762018,0.1,0.05073626373626358,0.0,0.015,0.0,0.0,0.0,0.08
0.341216,82,1040.645875,hard,0.34463958810068646,0.34463958810068646,0,817,8,4,4,4,4,0,0,0,0,0.012974828375286119,0.0008653846153845782,0.0,0.30223901098901096,0.07466666666666667,2,False,108,0.06654929577464788,0.926084507042254,0.7893802816901406,1.666056338028169,46,65.0,45.0,0.07692307692307693,0.18461538461538463,0.24835065083211508,0.10454118993135014,0.053735347985348,0.00454118993135014,0.1,0.03626868131868133,0.0074666666666666675,0.01,0.0,0.0,0.0,0.08
