profile,seed,damage_pct,score,stars,steps,ticks,terminated,truncated
medium,300000,0.672429906542056,2.672429906542056,2,80,794,True,False
hard,300001,0.2625858123569794,0.2625858123569794,0,66,655,True,False
medium,300002,0.8607476635514019,2.8607476635514018,2,85,846,True,False
hard,300003,0.3835812356979405,0.3835812356979405,0,76,756,True,False
medium,300004,0.4575545171339564,0.4575545171339564,0,62,612,True,False
hard,300005,0.19118993135011442,0.19118993135011442,0,59,582,True,False
medium,300006,0.40919003115264796,0.40919003115264796,0,69,686,True,False
hard,300007,0.2517734553775744,0.2517734553775744,0,58,579,True,False
