#{"t_start": 1778956386.2035992, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
0.206856,55,19.220015,hard,0.26155606407322657,0.26155606407322657,0,547
0.076024,58,38.773027,hard,0.13312356979405035,0.13312356979405035,0,571
0.149688,53,57.099044,hard,0.2022883295194508,0.2022883295194508,0,526
0.225847,54,75.00883,hard,0.2789473684210526,0.2789473684210526,0,531
0.287897,72,98.781616,hard,0.3598970251716247,0.3598970251716247,0,720
0.224167,72,121.804121,hard,0.2961670480549199,0.2961670480549199,0,720
0.231719,72,145.310877,hard,0.30371853546910754,0.30371853546910754,0,720
0.222802,54,162.863457,hard,0.27660183066361554,0.27660183066361554,0,538
0.065966,55,183.29226,hard,0.12036613272311213,0.12036613272311213,0,544
0.095906,60,203.151692,hard,0.15560640732265446,0.15560640732265446,0,597
0.16062,57,221.696709,hard,0.21721967963386726,0.21721967963386726,0,566
0.171352,62,241.922579,hard,0.23295194508009154,0.23295194508009154,0,616
0.348137,72,266.005421,hard,0.42013729977116704,0.42013729977116704,0,720
0.179757,58,285.461298,hard,0.23735697940503434,0.23735697940503434,0,576
0.258468,64,306.380371,hard,0.3215675057208238,0.3215675057208238,0,631
0.142512,68,329.009365,hard,0.21041189931350116,0.21041189931350116,0,679
0.166541,57,350.354472,hard,0.22294050343249427,0.22294050343249427,0,564
0.161944,65,372.239625,hard,0.2261441647597254,0.2261441647597254,0,642
0.158015,56,391.092455,hard,0.21321510297482837,0.21321510297482837,0,552
0.111319,56,409.38257,hard,0.1668192219679634,0.1668192219679634,0,555
0.213897,59,428.990088,hard,0.2725972540045767,0.2725972540045767,0,587
0.194665,62,449.90965,hard,0.25646453089244853,0.25646453089244853,0,618
0.096887,55,467.617655,hard,0.15148741418764303,0.15148741418764303,0,546
0.214071,61,488.155114,hard,0.274370709382151,0.274370709382151,0,603
0.117645,72,512.360008,hard,0.18924485125858123,0.18924485125858123,0,716
0.141302,61,534.672411,hard,0.20200228832951944,0.20200228832951944,0,607
0.118796,53,552.139131,hard,0.17139588100686498,0.17139588100686498,0,526
0.202375,63,572.958626,hard,0.2652745995423341,0.2652745995423341,0,629
0.239222,55,591.330129,hard,0.2938215102974828,0.2938215102974828,0,546
0.276684,72,614.615332,hard,0.34868421052631576,0.34868421052631576,0,720
0.154409,54,632.533725,hard,0.20800915331807782,0.20800915331807782,0,536
0.117073,60,652.474101,hard,0.17677345537757438,0.17677345537757438,0,597
0.139807,67,674.863386,hard,0.20600686498855836,0.20600686498855836,0,662
0.113274,65,698.239535,hard,0.17757437070938215,0.17757437070938215,0,643
0.1445,56,716.955247,hard,0.1995995423340961,0.1995995423340961,0,551
0.069045,58,736.344616,hard,0.12694508009153319,0.12694508009153319,0,579
0.08689,67,758.445499,hard,0.15389016018306637,0.15389016018306637,0,670
0.065956,58,777.434876,hard,0.1238558352402746,0.1238558352402746,0,579
0.116383,69,799.8887,hard,0.18518306636155607,0.18518306636155607,0,688
0.21746,61,820.171181,hard,0.2778604118993135,0.2778604118993135,0,604
0.106616,57,839.273358,hard,0.16361556064073227,0.16361556064073227,0,570
0.165422,54,858.131728,hard,0.21922196796338672,0.21922196796338672,0,538
0.062139,60,880.448377,hard,0.12173913043478261,0.12173913043478261,0,596
0.184865,72,904.700582,hard,0.2568649885583524,0.2568649885583524,0,720
0.294394,63,925.800823,hard,0.3570938215102975,0.3570938215102975,0,627
0.156074,59,945.887968,hard,0.2148741418764302,0.2148741418764302,0,588
0.209825,63,965.978448,hard,0.27202517162471396,0.27202517162471396,0,622
0.068253,53,982.959682,hard,0.12105263157894737,0.12105263157894737,0,528
0.078651,54,1000.528231,hard,0.13175057208237986,0.13175057208237986,0,531
0.149805,55,1018.871562,hard,0.2040045766590389,0.2040045766590389,0,542
0.147169,64,1041.889604,hard,0.21046910755148743,0.21046910755148743,0,633
0.180263,63,1062.866773,hard,0.2425629290617849,0.2425629290617849,0,623
0.182157,56,1081.792266,hard,0.23735697940503434,0.23735697940503434,0,552
0.116436,66,1104.038021,hard,0.18163615560640733,0.18163615560640733,0,652
0.14038,55,1123.031565,hard,0.19467963386727688,0.19467963386727688,0,543
0.16523,61,1143.407928,hard,0.22602974828375286,0.22602974828375286,0,608
