#{"t_start": 1778956386.3163407, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
0.260208,72,23.630935,hard,0.33220823798627,0.33220823798627,0,720
0.131853,65,46.167594,hard,0.19605263157894737,0.19605263157894737,0,642
0.229268,68,69.40615,hard,0.2965675057208238,0.2965675057208238,0,673
0.164213,72,93.646548,hard,0.23621281464530894,0.23621281464530894,0,720
0.249796,72,117.021741,hard,0.32179633867276886,0.32179633867276886,0,720
0.222233,70,139.605851,hard,0.29153318077803203,0.29153318077803203,0,693
0.240354,70,162.409045,hard,0.30955377574370707,0.30955377574370707,0,692
0.259403,56,183.202467,hard,0.3151029748283753,0.3151029748283753,0,557
0.138293,56,201.850867,hard,0.19399313501144164,0.19399313501144164,0,557
0.197873,54,219.375547,hard,0.2517734553775744,0.2517734553775744,0,539
0.089098,72,242.788749,hard,0.16109839816933638,0.16109839816933638,0,720
0.075354,60,263.096595,hard,0.134954233409611,0.134954233409611,0,596
0.235587,66,285.001014,hard,0.3010869565217391,0.3010869565217391,0,655
0.248903,67,306.923851,hard,0.3155034324942792,0.3155034324942792,0,666
0.166029,60,326.758936,hard,0.22522883295194507,0.22522883295194507,0,592
0.002065,55,347.433062,hard,0.05646453089244851,0.05646453089244851,0,544
0.053837,54,365.635617,hard,0.10703661327231122,0.10703661327231122,0,532
0.152831,63,387.144247,hard,0.21493135011441647,0.21493135011441647,0,621
0.02121,63,407.650151,hard,0.08381006864988558,0.08381006864988558,0,626
0.05276,62,428.243754,hard,0.11475972540045766,0.11475972540045766,0,620
0.173962,68,451.160878,hard,0.24136155606407322,0.24136155606407322,0,674
0.193955,55,468.86548,hard,0.24805491990846681,0.24805491990846681,0,541
0.228926,57,488.057232,hard,0.2855263157894737,0.2855263157894737,0,566
0.212735,56,506.770446,hard,0.2681350114416476,0.2681350114416476,0,554
0.177802,62,529.585419,hard,0.2389016018306636,0.2389016018306636,0,611
0.144805,60,549.548992,hard,0.2048054919908467,0.2048054919908467,0,600
0.272103,56,567.709738,hard,0.32740274599542335,0.32740274599542335,0,553
0.303452,55,586.36524,hard,0.35795194508009154,0.35795194508009154,0,545
0.150863,54,603.929425,hard,0.20486270022883296,0.20486270022883296,0,540
0.164639,58,622.84695,hard,0.2217391304347826,0.2217391304347826,0,571
0.302371,72,646.742025,hard,0.37437070938215106,0.37437070938215106,0,720
0.112302,52,664.010122,hard,0.16390160183066363,0.16390160183066363,0,516
0.088297,59,683.767792,hard,0.14719679633867278,0.14719679633867278,0,589
0.007981,63,706.65409,hard,0.07048054919908467,0.07048054919908467,0,625
0.184643,54,724.337551,hard,0.23804347826086958,0.23804347826086958,0,534
0.217425,67,746.590517,hard,0.284324942791762,0.284324942791762,0,669
0.190872,60,766.460268,hard,0.2505720823798627,0.2505720823798627,0,597
0.270476,71,789.527644,hard,0.34147597254004575,0.34147597254004575,0,710
0.267989,72,813.231688,hard,0.33998855835240277,0.33998855835240277,0,720
0.292087,59,833.210057,hard,0.35108695652173916,0.35108695652173916,0,590
1.40586,72,858.025695,hard,0.4778604118993135,1.4778604118993135,1,720
0.076062,54,878.393553,hard,0.12946224256292907,0.12946224256292907,0,534
1.324625,72,902.713588,hard,0.39662471395881005,1.39662471395881,1,720
0.150715,63,923.969801,hard,0.2128146453089245,0.2128146453089245,0,621
0.225855,60,944.133643,hard,0.2857551487414188,0.2857551487414188,0,599
0.177314,72,967.028497,hard,0.24931350114416476,0.24931350114416476,0,720
0.129181,54,984.475947,hard,0.1831807780320366,0.1831807780320366,0,540
0.162238,59,1003.563744,hard,0.22053775743707094,0.22053775743707094,0,583
0.252343,61,1024.176648,hard,0.3126430205949657,0.3126430205949657,0,603
0.130694,65,1047.420265,hard,0.19479405034324943,0.19479405034324943,0,641
0.243689,60,1067.394364,hard,0.3030892448512586,0.3030892448512586,0,594
0.096057,67,1089.87325,hard,0.1627574370709382,0.1627574370709382,0,667
0.18626,54,1108.372004,hard,0.24016018306636155,0.24016018306636155,0,539
0.186845,53,1126.487202,hard,0.23924485125858125,0.23924485125858125,0,524
0.217838,54,1144.624597,hard,0.27093821510297483,0.27093821510297483,0,531
0.206601,57,1163.205415,hard,0.2631006864988558,0.2631006864988558,0,565
0.130281,54,1181.641791,hard,0.1835812356979405,0.1835812356979405,0,533
0.228559,61,1202.636978,hard,0.2889588100686499,0.2889588100686499,0,604
0.117721,64,1226.463011,hard,0.18112128146453088,0.18112128146453088,0,634
0.169235,62,1247.657921,hard,0.23083524027459953,0.23083524027459953,0,616
0.191855,57,1267.189592,hard,0.24845537757437072,0.24845537757437072,0,566
0.012176,55,1285.770805,hard,0.06647597254004577,0.06647597254004577,0,543
0.29299,61,1306.416288,hard,0.3534897025171625,0.3534897025171625,0,605
0.17695,55,1324.792528,hard,0.23135011441647596,0.23135011441647596,0,544
0.21215,57,1343.631043,hard,0.2690503432494279,0.2690503432494279,0,569
0.096202,56,1362.531302,hard,0.15200228832951945,0.15200228832951945,0,558
0.032612,53,1383.022513,hard,0.08541189931350114,0.08541189931350114,0,528
0.232691,72,1406.350941,hard,0.3046910755148741,0.3046910755148741,0,720
0.123585,64,1428.274135,hard,0.18718535469107553,0.18718535469107553,0,636
0.35097,61,1448.293511,hard,0.4116704805491991,0.4116704805491991,0,607
0.0995,63,1469.278264,hard,0.16229977116704805,0.16229977116704805,0,628
0.024403,53,1486.878093,hard,0.07740274599542334,0.07740274599542334,0,530
0.064148,66,1508.171441,hard,0.12934782608695652,0.12934782608695652,0,652
0.156947,72,1531.802709,hard,0.22894736842105262,0.22894736842105262,0,720
0.243343,70,1555.378245,hard,0.3130434782608696,0.3130434782608696,0,697
0.273406,58,1573.503485,hard,0.33060640732265445,0.33060640732265445,0,572
0.175966,69,1597.034328,hard,0.24496567505720823,0.24496567505720823,0,690
0.229683,69,1619.954037,hard,0.297883295194508,0.297883295194508,0,682
0.070642,54,1637.911039,hard,0.12454233409610983,0.12454233409610983,0,539
0.177892,53,1655.797686,hard,0.2308924485125858,0.2308924485125858,0,530
0.190853,56,1674.834298,hard,0.24605263157894736,0.24605263157894736,0,552
0.235559,54,1692.755445,hard,0.2893592677345538,0.2893592677345538,0,538
0.143017,60,1713.104595,hard,0.20251716247139587,0.20251716247139587,0,595
