#{"t_start": 1779077250.6661284, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
1.626223,75,22.68677,medium,0.6006230529595016,1.6006230529595016,1,744,4,2,2,2,2,0,0,0,0,0.0,68,0.1,0.0,0.1,0.0,0.0
0.466881,66,41.898345,medium,0.47414330218068534,0.47414330218068534,0,652,4,2,2,2,2,0,0,0,0,0.012920560747663632,28,0.05793808411214955,0.0019380841121495447,0.056,0.0,0.0
0.507585,80,64.134689,medium,0.48878504672897194,0.48878504672897194,0,792,4,2,2,2,2,0,0,0,0,0.0,49,0.098,0.0,0.098,0.0,0.0
0.461288,70,84.010038,medium,0.43410436137071656,0.43410436137071656,0,697,4,2,2,2,2,0,0,0,0,0.005887850467289755,48,0.09688317757009346,0.0008831775700934632,0.096,0.0,0.0
1.60859,71,104.073513,medium,0.6073208722741433,1.6073208722741432,1,703,4,2,2,2,2,0,0,0,0,0.037126168224298955,33,0.07156892523364485,0.005568925233644842,0.066,0.0,0.0
0.454336,66,121.93228,medium,0.42881619937694704,0.42881619937694704,0,654,4,2,2,2,2,0,0,0,0,0.019462616822430005,44,0.09091939252336449,0.0029193925233645004,0.088,0.0,0.0
0.328393,58,138.32175,medium,0.3,0.3,0,577,4,2,2,2,2,0,0,0,0,0.0006230529595015579,43,0.08609345794392524,9.345794392523368e-05,0.08600000000000001,0.0,0.0
0.449269,66,161.602647,medium,0.4120794392523363,0.4120794392523363,0,653,4,2,2,2,2,0,0,0,0,0.016596573208722615,57,0.1024894859813084,0.0024894859813083922,0.1,0.0,0.0
2.514905,72,181.521458,medium,0.5244548286604361,2.5244548286604362,2,714,4,2,2,2,2,0,0,0,0,0.05233644859813024,27,0.06185046728971953,0.007850467289719536,0.054,0.0,0.0
0.294446,63,199.251983,medium,0.30934579439252335,0.30934579439252335,0,629,4,2,2,2,2,0,0,0,0,0.0,24,0.048,0.0,0.048,0.0,0.0
2.838738,71,219.294658,medium,0.8202492211838006,2.8202492211838006,2,701,4,2,2,2,2,0,0,0,0,0.003925233644859807,44,0.08858878504672899,0.000588785046728971,0.08800000000000001,0.0,0.0
1.524165,90,244.781488,medium,0.532165109034268,1.5321651090342678,1,900,4,2,2,2,2,0,0,0,0,0.0,41,0.08200000000000002,0.0,0.08200000000000002,0.0,0.0
1.546381,62,262.301866,medium,0.5642523364485982,1.564252336448598,1,616,4,2,2,2,2,0,0,0,0,0.024859813084112076,20,0.04372897196261681,0.003728971962616812,0.04,0.0,0.0
0.38252,67,280.803649,medium,0.407523364485981,0.407523364485981,0,662,4,2,2,2,2,0,0,0,0,0.021308411214952944,19,0.04119626168224295,0.0031962616822429415,0.038000000000000006,0.0,0.0
0.341811,60,302.092432,medium,0.3303348909657321,0.3303348909657321,0,591,4,2,2,2,2,0,0,0,0,0.017172897196261763,34,0.07057593457943927,0.0025759345794392646,0.068,0.0,0.0
0.415011,68,321.993173,medium,0.4450856697819315,0.4450856697819315,0,673,4,2,2,2,2,0,0,0,0,0.008169781931464195,18,0.037225467289719635,0.0012254672897196292,0.036000000000000004,0.0,0.0
2.833498,76,343.154032,medium,0.8111370716510904,2.8111370716510904,2,757,4,2,2,2,2,0,0,0,0,0.01373831775700884,48,0.09806074766355133,0.002060747663551326,0.096,0.0,0.0
1.552442,66,361.815512,medium,0.5209813084112149,1.520981308411215,1,653,4,2,2,2,2,0,0,0,0,0.005070093457943947,48,0.0967605140186916,0.000760514018691592,0.096,0.0,0.0
1.535468,74,382.686882,medium,0.5429127725856698,1.54291277258567,1,738,4,2,2,2,2,0,0,0,0,0.01570093457943867,32,0.0663551401869158,0.002355140186915801,0.064,0.0,0.0
1.572437,90,408.604536,medium,0.5593457943925234,1.5593457943925233,1,900,4,2,2,2,2,0,0,0,0,0.02060747663551408,60,0.10309112149532712,0.0030911214953271114,0.1,0.0,0.0
1.661091,66,427.151498,medium,0.6230529595015576,1.6230529595015577,1,652,4,2,2,2,2,0,0,0,0,0.021588785046728457,61,0.10323831775700927,0.0032383177570092683,0.1,0.0,0.0
