#{"t_start": 1779077250.6040704, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.153472,68,20.843392,hard,0.1704233409610984,0.1704233409610984,0,676,4,2,2,2,2,0,0,0,0,0.0043249427917620206,25,0.050648741418764305,0.0006487414187643032,0.05,0.0,0.0
0.134986,59,38.068886,hard,0.12553203661327228,0.12553203661327228,0,586,4,2,2,2,2,0,0,0,0,0.0003604118993134857,34,0.06805406178489702,5.406178489702285e-05,0.068,0.0,0.0
0.276577,63,55.663931,hard,0.2381578947368421,0.2381578947368421,0,625,4,2,2,2,2,0,0,0,0,0.0061270022883295455,72,0.10091905034324944,0.0009190503432494318,0.1,0.0,0.0
0.294254,72,75.912404,hard,0.2931864988558349,0.2931864988558349,0,716,4,2,2,2,2,0,0,0,0,0.017780320366132533,35,0.07266704805491989,0.00266704805491988,0.07,0.0,0.0
0.243528,58,91.940418,hard,0.21070938215102958,0.21070938215102958,0,572,4,2,2,2,2,0,0,0,0,0.013455377574370583,44,0.09001830663615558,0.0020183066361555875,0.088,0.0,0.0
0.423476,75,112.958264,hard,0.3933924485125856,0.3933924485125856,0,741,4,2,2,2,2,0,0,0,0,0.0278890160183065,82,0.10418335240274598,0.004183352402745976,0.1,0.0,0.0
0.255926,58,129.028513,hard,0.2518878718535469,0.2518878718535469,0,578,4,2,2,2,2,0,0,0,0,0.012254004576659098,30,0.061838100686498865,0.0018381006864988648,0.06,0.0,0.0
0.242119,71,153.942969,hard,0.2144965675057209,0.2144965675057209,0,702,4,2,2,2,2,0,0,0,0,0.012151029748283795,48,0.09782265446224257,0.0018226544622425692,0.096,0.0,0.0
0.362216,59,170.1789,hard,0.33684782608695624,0.33684782608695624,0,582,4,2,2,2,2,0,0,0,0,0.010451945080091257,41,0.0835677917620137,0.0015677917620136885,0.08200000000000002,0.0,0.0
0.332067,63,187.776786,hard,0.2922768878718536,0.2922768878718536,0,623,4,2,2,2,2,0,0,0,0,0.013935926773455483,50,0.10209038901601832,0.0020903890160183223,0.09999999999999999,0.0,0.0
0.24338,57,203.741103,hard,0.2,0.2,0,568,4,2,2,2,2,0,0,0,0,0.0012013729977116837,69,0.10018020594965676,0.00018020594965675255,0.1,0.0,0.0
0.266042,59,220.504575,hard,0.22454233409610985,0.22454233409610985,0,585,4,2,2,2,2,0,0,0,0,0.0,58,0.1,0.0,0.1,0.0,0.0
0.222963,61,237.784417,hard,0.18157894736842106,0.18157894736842106,0,604,4,2,2,2,2,0,0,0,0,0.01189359267734522,72,0.10178403890160179,0.0017840389016017828,0.1,0.0,0.0
0.237396,71,257.882967,hard,0.23369565217391305,0.23369565217391305,0,703,4,2,2,2,2,0,0,0,0,0.0,37,0.07400000000000001,0.0,0.07400000000000001,0.0,0.0
0.127213,60,274.541561,hard,0.08661327231121281,0.08661327231121281,0,594,4,2,2,2,2,0,0,0,0,0.0,87,0.1,0.0,0.1,0.0,0.0
0.28104,59,291.058484,hard,0.23850114416475973,0.23850114416475973,0,582,4,2,2,2,2,0,0,0,0,0.004925629290617861,68,0.10073884439359268,0.0007388443935926793,0.1,0.0,0.0
0.149166,62,313.284409,hard,0.14207093821510286,0.14207093821510286,0,615,4,2,2,2,2,0,0,0,0,0.0039645308924484,34,0.06859467963386727,0.0005946796338672601,0.068,0.0,0.0
0.267071,67,332.419376,hard,0.24937070938215103,0.24937070938215103,0,663,4,2,2,2,2,0,0,0,0,0.0,42,0.084,0.0,0.084,0.0,0.0
0.18155,63,349.894809,hard,0.17426773455377578,0.17426773455377578,0,627,4,2,2,2,2,0,0,0,0,0.013215102974828474,34,0.06998226544622428,0.001982265446224271,0.068,0.0,0.0
0.163793,63,367.824521,hard,0.15789473684210525,0.15789473684210525,0,623,4,2,2,2,2,0,0,0,0,0.001321510297482837,34,0.06819822654462243,0.00019822654462242552,0.068,0.0,0.0
0.213522,61,384.97284,hard,0.20652173913043478,0.20652173913043478,0,610,4,2,2,2,2,0,0,0,0,0.0,34,0.068,0.0,0.068,0.0,0.0
0.272339,62,402.77064,hard,0.2609439359267735,0.2609439359267735,0,612,4,2,2,2,2,0,0,0,0,0.003964530892448556,36,0.07259467963386729,0.0005946796338672834,0.07200000000000001,0.0,0.0
