#{"t_start": 1779077250.612181, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.280161,55,17.868382,medium,0.2706386292834891,0.2706386292834891,0,546,4,2,2,2,2,0,0,0,0,0.000817757009345795,32,0.06412266355140187,0.00012266355140186925,0.064,0.0,0.0
2.734331,74,38.610972,medium,0.7238317757009346,2.7238317757009347,2,734,4,2,2,2,2,0,0,0,0,0.052663551401867875,38,0.0838995327102802,0.007899532710280181,0.07600000000000001,0.0,0.0
2.660343,63,56.202085,medium,0.6286604361370717,2.628660436137072,2,624,4,2,2,2,2,0,0,0,0,0.04055295950155696,44,0.09408294392523356,0.0060829439252335455,0.08800000000000001,0.0,0.0
1.627455,67,75.086565,medium,0.5905295950155763,1.5905295950155764,1,670,4,2,2,2,2,0,0,0,0,0.026168224299065505,72,0.10392523364485984,0.0039252336448598255,0.1,0.0,0.0
0.410977,59,91.387915,medium,0.368278816199377,0.368278816199377,0,587,4,2,2,2,2,0,0,0,0,0.0093224299065421,72,0.10139836448598132,0.001398364485981315,0.1,0.0,0.0
1.649592,66,110.081155,medium,0.6313084112149533,1.6313084112149534,1,652,4,2,2,2,2,0,0,0,0,0.009890965732087233,41,0.08348364485981309,0.0014836448598130848,0.082,0.0,0.0
0.499645,78,131.569711,medium,0.47149532710280373,0.47149532710280373,0,771,4,2,2,2,2,0,0,0,0,0.03499999999999977,58,0.10524999999999997,0.005249999999999965,0.1,0.0,0.0
2.640917,66,155.064527,medium,0.6506230529595015,2.6506230529595016,2,659,4,2,2,2,2,0,0,0,0,0.05462616822429791,24,0.056193925233644686,0.008193925233644686,0.048,0.0,0.0
1.818755,90,179.879408,medium,0.8087305295950156,1.8087305295950156,1,900,4,2,2,2,2,0,0,0,0,0.00016355140186916073,94,0.10002453271028038,2.453271028037411e-05,0.1,0.0,0.0
0.495107,90,205.150104,medium,0.4866043613707165,0.4866043613707165,0,900,4,2,2,2,2,0,0,0,0,0.016682242990653746,48,0.09850233644859807,0.0025023364485980623,0.096,0.0,0.0
0.448636,70,225.01229,medium,0.4185358255451713,0.4185358255451713,0,699,4,2,2,2,2,0,0,0,0,0.0,72,0.1,0.0,0.1,0.0,0.0
2.886801,76,246.549637,medium,0.8645638629283489,2.8645638629283487,2,752,4,2,2,2,2,0,0,0,0,0.009579439252336452,48,0.09743691588785047,0.0014369158878504678,0.096,0.0,0.0
0.219199,57,262.624865,medium,0.17897196261682244,0.17897196261682244,0,570,4,2,2,2,2,0,0,0,0,0.008177570093457978,48,0.0972266355140187,0.0012266355140186965,0.096,0.0,0.0
0.415667,66,280.850765,medium,0.4124610591900312,0.4124610591900312,0,658,4,2,2,2,2,0,0,0,0,0.006705607476635339,34,0.06900584112149531,0.0010058411214953007,0.068,0.0,0.0
1.604067,76,306.913134,medium,0.6416666666666667,1.6416666666666666,1,756,4,2,2,2,2,0,0,0,0,0.0,19,0.038000000000000006,0.0,0.038000000000000006,0.0,0.0
2.969555,83,330.814114,medium,0.994392523364486,2.994392523364486,2,828,4,2,2,2,2,0,0,0,0,0.013084112149532793,28,0.05796261682242992,0.0019626168224299192,0.056,0.0,0.0
2.744643,76,351.993626,medium,0.716588785046729,2.7165887850467287,2,751,4,2,2,2,2,0,0,0,0,0.021028037383177583,68,0.10315420560747664,0.003154205607476637,0.1,0.0,0.0
0.446455,71,372.035069,medium,0.4413551401869159,0.4413551401869159,0,709,4,2,2,2,2,0,0,0,0,0.0,38,0.07600000000000001,0.0,0.07600000000000001,0.0,0.0
0.436015,66,390.608837,medium,0.41207165109034266,0.41207165109034266,0,657,4,2,2,2,2,0,0,0,0,0.010957943925233552,44,0.08964369158878505,0.001643691588785033,0.08800000000000001,0.0,0.0
0.519396,62,408.655102,medium,0.4802414330218069,0.4802414330218069,0,619,4,2,2,2,2,0,0,0,0,0.007032710280373838,68,0.10105490654205608,0.0010549065420560758,0.1,0.0,0.0
1.581078,90,433.854216,medium,0.5750778816199377,1.5750778816199378,1,900,4,2,2,2,2,0,0,0,0,0.0,48,0.096,0.0,0.096,0.0,0.0
1.67843,87,463.048541,medium,0.6884190031152639,1.688419003115264,1,866,4,2,2,2,2,0,0,0,0,0.05740654205607406,34,0.07661098130841111,0.008610981308411108,0.068,0.0,0.0
0.481154,65,482.057238,medium,0.44401869158878504,0.44401869158878504,0,649,4,2,2,2,2,0,0,0,0,0.0135669781931464,72,0.10203504672897197,0.00203504672897196,0.1,0.0,0.0
0.389208,61,499.65837,medium,0.4104361370716511,0.4104361370716511,0,607,4,2,2,2,2,0,0,0,0,0.00981308411214964,19,0.039471962616822454,0.001471962616822446,0.038000000000000006,0.0,0.0
1.608246,70,519.846071,medium,0.5816043613707165,1.5816043613707165,1,698,4,2,2,2,2,0,0,0,0,0.002943925233644892,48,0.09644158878504673,0.0004415887850467338,0.096,0.0,0.0
0.314247,62,537.581915,medium,0.32686915887850465,0.32686915887850465,0,618,4,2,2,2,2,0,0,0,0,0.007850467289719656,24,0.04917757009345795,0.0011775700934579484,0.048,0.0,0.0
1.607817,66,556.354396,medium,0.5725077881619938,1.5725077881619938,1,655,4,2,2,2,2,0,0,0,0,0.005397196261682243,72,0.10080957943925234,0.0008095794392523365,0.1,0.0,0.0
0.394653,64,574.663535,medium,0.35535825545171335,0.35535825545171335,0,636,4,2,2,2,2,0,0,0,0,0.01929906542056074,72,0.10289485981308412,0.002894859813084111,0.1,0.0,0.0
1.477364,90,605.0471,medium,0.5161993769470405,1.5161993769470405,1,900,4,2,2,2,2,0,0,0,0,0.0210981308411215,24,0.051164719626168226,0.0031647196261682243,0.048,0.0,0.0
2.597398,90,630.914235,medium,0.5784267912772586,2.5784267912772587,2,891,4,2,2,2,2,0,0,0,0,0.05380841121495194,72,0.10807126168224279,0.008071261682242791,0.1,0.0,0.0
0.364002,64,649.490793,medium,0.3334813084112149,0.3334813084112149,0,637,4,2,2,2,2,0,0,0,0,0.0014719626168223665,47,0.09422079439252337,0.00022079439252335495,0.09400000000000001,0.0,0.0
0.418596,68,669.04162,medium,0.3873052959501558,0.3873052959501558,0,678,4,2,2,2,2,0,0,0,0,0.02060747663551384,48,0.09909112149532708,0.0030911214953270754,0.096,0.0,0.0
2.601841,66,687.797738,medium,0.5709501557632399,2.57095015576324,2,656,4,2,2,2,2,0,0,0,0,0.00327102803738317,48,0.09649065420560747,0.0004906542056074755,0.096,0.0,0.0
1.638914,90,713.501807,medium,0.6734423676012461,1.673442367601246,1,900,4,2,2,2,2,0,0,0,0,0.00981308411214911,27,0.055471962616822364,0.0014719626168223665,0.054,0.0,0.0
0.480175,83,737.629404,medium,0.4678348909657321,0.4678348909657321,0,828,4,2,2,2,2,0,0,0,0,0.020934579439252518,46,0.09514018691588788,0.0031401869158878774,0.092,0.0,0.0
2.890479,90,768.270771,medium,0.9034267912772586,2.9034267912772584,2,900,4,2,2,2,2,0,0,0,0,0.06035046728971832,34,0.07705257009345776,0.009052570093457748,0.068,0.0,0.0
4.046979,65,786.601743,medium,1.0,4.0,3,641,4,2,2,2,2,0,0,0,0,0.07386292834890808,59,0.11107943925233621,0.011079439252336211,0.1,0.0,0.0
0.376548,90,812.245504,medium,0.39501557632398754,0.39501557632398754,0,900,4,2,2,2,2,0,0,0,0,0.023551401869159046,34,0.07153271028037386,0.0035327102803738566,0.068,0.0,0.0
0.426321,63,830.832592,medium,0.44042056074766356,0.44042056074766356,0,621,4,2,2,2,2,0,0,0,0,0.0,24,0.048,0.0,0.048,0.0,0.0
2.827287,83,854.500477,medium,0.8404205607476636,2.8404205607476634,2,829,4,2,2,2,2,0,0,0,0,0.011775700934579294,34,0.06976635514018689,0.0017663551401868938,0.068,0.0,0.0
0.43209,90,881.121156,medium,0.4260903426791277,0.4260903426791277,0,900,4,2,2,2,2,0,0,0,0,0.0,48,0.096,0.0,0.096,0.0,0.0
0.46253,67,905.055498,medium,0.48894080996884737,0.48894080996884737,0,669,4,2,2,2,2,0,0,0,0,0.029929906542055705,18,0.04048948598130836,0.004489485981308355,0.036000000000000004,0.0,0.0
0.219891,57,921.908609,medium,0.17679127725856697,0.17679127725856697,0,569,4,2,2,2,2,0,0,0,0,0.0,58,0.1,0.0,0.1,0.0,0.0
0.283192,62,939.930994,medium,0.2656464174454827,0.2656464174454827,0,620,4,2,2,2,2,0,0,0,0,0.010303738317756866,39,0.07954556074766353,0.00154556074766353,0.078,0.0,0.0
2.538096,72,960.126352,medium,0.5037383177570094,2.5037383177570094,2,712,4,2,2,2,2,0,0,0,0,0.06371495327102787,48,0.10555724299065418,0.00955724299065418,0.096,0.0,0.0
1.592066,74,980.626948,medium,0.5626168224299065,1.5626168224299066,1,732,4,2,2,2,2,0,0,0,0,0.01766355140186929,72,0.1026495327102804,0.002649532710280393,0.1,0.0,0.0
0.263166,62,998.449242,medium,0.2838785046728972,0.2838785046728972,0,620,4,2,2,2,2,0,0,0,0,0.021915887850467303,19,0.041287383177570094,0.003287383177570095,0.038,0.0,0.0
1.764956,90,1024.289054,medium,0.7589563862928349,1.758956386292835,1,900,4,2,2,2,2,0,0,0,0,0.0,48,0.096,0.0,0.096,0.0,0.0
2.941276,87,1049.1679,medium,0.9317757009345794,2.9317757009345793,2,865,4,2,2,2,2,0,0,0,0,0.0,48,0.096,0.0,0.096,0.0,0.0
0.528543,64,1071.970172,medium,0.4907632398753895,0.4907632398753895,0,633,4,2,2,2,2,0,0,0,0,0.00719626168224307,66,0.10107943925233646,0.0010794392523364603,0.1,0.0,0.0
2.689315,82,1095.087629,medium,0.7031152647975077,2.703115264797508,2,818,4,2,2,2,2,0,0,0,0,0.0,34,0.068,0.0,0.068,0.0,0.0
1.66046,73,1116.085165,medium,0.636760124610592,1.6367601246105918,1,723,4,2,2,2,2,0,0,0,0,0.0,48,0.096,0.0,0.096,0.0,0.0
3.997061,79,1138.667787,medium,1.0,4.0,3,790,4,2,2,2,2,0,0,0,0,0.013738317757009328,37,0.0760607476635514,0.0020607476635513986,0.07400000000000001,0.0,0.0
2.778901,89,1164.214387,medium,0.7938629283489097,2.7938629283489096,2,890,4,2,2,2,2,0,0,0,0,0.040257009345794535,34,0.07403855140186918,0.006038551401869179,0.068,0.0,0.0
2.699999,90,1190.308901,medium,0.712772585669782,2.712772585669782,2,900,4,2,2,2,2,0,0,0,0,0.008177570093457988,38,0.0772266355140187,0.001226635514018698,0.07600000000000001,0.0,0.0
1.57189,69,1214.776183,medium,0.5680685358255452,1.568068535825545,1,683,4,2,2,2,2,0,0,0,0,0.027476635514018497,34,0.07212149532710278,0.004121495327102775,0.068,0.0,0.0
0.47361,69,1234.686701,medium,0.44104361370716516,0.44104361370716516,0,685,4,2,2,2,2,0,0,0,0,0.02044392523364503,49,0.10106658878504676,0.0030665887850467545,0.098,0.0,0.0
2.666511,70,1254.627337,medium,0.6374610591900312,2.637461059190031,2,696,4,2,2,2,2,0,0,0,0,0.017663551401868396,48,0.09864953271028026,0.0026495327102802595,0.096,0.0,0.0
1.706807,90,1279.45132,medium,0.6968068535825546,1.6968068535825545,1,900,4,2,2,2,2,0,0,0,0,0.0,66,0.1,0.0,0.1,0.0,0.0
0.399269,69,1299.380767,medium,0.39945482866043613,0.39945482866043613,0,687,4,2,2,2,2,0,0,0,0,0.0034267912772585674,34,0.0685140186915888,0.0005140186915887851,0.068,0.0,0.0
0.372482,90,1325.779059,medium,0.39293613707165076,0.39293613707165076,0,900,4,2,2,2,2,0,0,0,0,0.010303738317756689,34,0.0695455607476635,0.0015455607476635035,0.068,0.0,0.0
1.714229,67,1345.107638,medium,0.7245327102803738,1.7245327102803738,1,665,4,2,2,2,2,0,0,0,0,0.0013084112149532854,28,0.056196261682242996,0.0001962616822429928,0.056,0.0,0.0
2.817423,72,1370.579489,medium,0.856386292834891,2.856386292834891,2,718,4,2,2,2,2,0,0,0,0,0.03224299065420567,14,0.03283644859813085,0.00483644859813085,0.028,0.0,0.0
1.549098,66,1389.448477,medium,0.5130841121495328,1.5130841121495329,1,659,4,2,2,2,2,0,0,0,0,0.012757009345794471,72,0.10191355140186918,0.0019135514018691706,0.1,0.0,0.0
2.734639,71,1410.433973,medium,0.7035825545171339,2.703582554517134,2,701,4,2,2,2,2,0,0,0,0,0.0077102803738317805,88,0.10115654205607477,0.001156542056074767,0.1,0.0,0.0
0.388738,90,1436.262701,medium,0.37873831775700934,0.37873831775700934,0,900,4,2,2,2,2,0,0,0,0,0.0,58,0.1,0.0,0.1,0.0,0.0
2.886162,90,1461.627472,medium,0.8881619937694704,2.8881619937694705,2,900,4,2,2,2,2,0,0,0,0,0.0,44,0.088,0.0,0.088,0.0,0.0
1.462985,90,1487.265289,medium,0.5058411214953271,1.5058411214953271,1,898,4,2,2,2,2,0,0,0,0,0.019626168224299155,22,0.04694392523364487,0.0029439252336448734,0.044,0.0,0.0
2.852272,89,1516.864747,medium,0.8496495327102803,2.84964953271028,2,888,4,2,2,2,2,0,0,0,0,0.009485981308410996,45,0.09142289719626166,0.0014228971962616495,0.09000000000000001,0.0,0.0
0.518983,60,1534.601359,medium,0.47858255451713394,0.47858255451713394,0,596,4,2,2,2,2,0,0,0,0,0.0,96,0.1,0.0,0.1,0.0,0.0
1.677939,90,1560.303887,medium,0.6711292834890966,1.6711292834890967,1,900,4,2,2,2,2,0,0,0,0,0.0053971962616823025,48,0.09680957943925235,0.0008095794392523453,0.096,0.0,0.0
