#{"t_start": 1778956384.482198, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
1.498146,62,20.286062,medium,0.5593457943925234,1.5593457943925233,1,612
2.55448,72,43.999032,medium,0.6264797507788162,2.6264797507788162,2,720
0.319528,60,64.53087,medium,0.3791277258566978,0.3791277258566978,0,596
0.403769,65,86.884162,medium,0.4687694704049844,0.4687694704049844,0,650
2.655648,72,110.986931,medium,0.7276479750778816,2.7276479750778817,2,720
1.490539,72,135.367701,medium,0.5625389408099688,1.5625389408099688,1,720
2.601361,62,155.826405,medium,0.6624610591900312,2.662461059190031,2,611
0.20637,55,176.877632,medium,0.2606697819314642,0.2606697819314642,0,543
2.878234,72,200.696514,medium,0.9502336448598131,2.950233644859813,2,720
2.746146,72,223.530044,medium,0.8181464174454829,2.818146417445483,2,720
2.706349,72,247.384189,medium,0.7783489096573208,2.778348909657321,2,720
2.480894,57,266.481159,medium,0.536993769470405,2.536993769470405,2,561
0.409854,72,290.367102,medium,0.48185358255451716,0.48185358255451716,0,720
0.371843,61,310.86787,medium,0.4322429906542056,0.4322429906542056,0,604
1.45231,64,332.913449,medium,0.515809968847352,1.515809968847352,1,635
0.36202,62,356.431111,medium,0.4235202492211838,0.4235202492211838,0,615
0.322054,60,376.792138,medium,0.3818535825545171,0.3818535825545171,0,598
0.381115,72,401.269252,medium,0.4531152647975078,0.4531152647975078,0,720
0.317564,72,424.637891,medium,0.38956386292834894,0.38956386292834894,0,720
0.377972,60,445.306403,medium,0.4370716510903427,0.4370716510903427,0,591
2.691084,72,469.250785,medium,0.7630841121495328,2.763084112149533,2,720
2.787813,72,494.178796,medium,0.8598130841121495,2.8598130841121496,2,720
0.359925,59,513.425917,medium,0.41892523364485984,0.41892523364485984,0,590
2.593907,70,538.988826,medium,0.6637071651090343,2.6637071651090345,2,698
2.598404,64,561.119439,medium,0.6616043613707165,2.6616043613707165,2,632
0.218265,72,586.186179,medium,0.29026479750778816,0.29026479750778816,0,720
0.308218,72,610.597734,medium,0.38021806853582557,0.38021806853582557,0,720
0.42133,68,633.445627,medium,0.4893302180685358,0.4893302180685358,0,680
0.089345,53,651.078621,medium,0.14174454828660435,0.14174454828660435,0,524
0.40514,67,674.444915,medium,0.4720404984423676,0.4720404984423676,0,669
0.343265,72,701.193133,medium,0.41526479750778816,0.41526479750778816,0,720
0.276131,72,726.066945,medium,0.34813084112149534,0.34813084112149534,0,720
1.544667,72,750.152146,medium,0.6166666666666667,1.6166666666666667,1,720
0.243176,64,771.053906,medium,0.30677570093457945,0.30677570093457945,0,636
2.815215,71,794.555567,medium,0.8862149532710281,2.886214953271028,2,710
0.426403,68,817.060753,medium,0.4940031152647975,0.4940031152647975,0,676
0.426676,72,841.40077,medium,0.4986760124610592,0.4986760124610592,0,720
1.731583,72,865.342889,medium,0.803582554517134,1.803582554517134,1,720
0.286178,72,891.826727,medium,0.35817757009345796,0.35817757009345796,0,720
2.833997,72,917.186391,medium,0.9059968847352025,2.9059968847352025,2,720
3.9368,64,939.633976,medium,1.0,4.0,3,632
0.406834,61,958.383121,medium,0.46713395638629285,0.46713395638629285,0,603
2.640176,67,979.448661,medium,0.7067757009345794,2.706775700934579,2,666
0.350586,72,1003.376008,medium,0.42258566978193146,0.42258566978193146,0,720
0.435449,60,1023.07295,medium,0.4952492211838006,0.4952492211838006,0,598
0.276553,55,1041.562543,medium,0.3311526479750779,0.3311526479750779,0,546
2.821458,72,1067.501608,medium,0.8934579439252337,2.8934579439252337,2,720
2.868888,72,1091.972536,medium,0.9408878504672897,2.9408878504672895,2,720
0.362462,68,1115.322751,medium,0.43006230529595013,0.43006230529595013,0,676
2.539615,64,1137.197052,medium,0.6031152647975078,2.6031152647975078,2,635
0.391933,58,1156.658116,medium,0.44953271028037384,0.44953271028037384,0,576
0.432921,58,1175.959991,medium,0.49042056074766355,0.49042056074766355,0,575
2.810477,72,1200.971756,medium,0.8824766355140187,2.882476635514019,2,720
0.418576,72,1227.341621,medium,0.4905763239875389,0.4905763239875389,0,720
2.77434,72,1251.879197,medium,0.8463395638629283,2.8463395638629283,2,720
2.645623,72,1276.225342,medium,0.7175233644859813,2.7175233644859813,2,719
2.623327,72,1300.467943,medium,0.6953271028037383,2.695327102803738,2,720
2.775118,72,1325.241498,medium,0.8471183800623053,2.847118380062305,2,720
1.420898,53,1342.651309,medium,0.4735981308411215,1.4735981308411215,1,527
2.60409,72,1367.620066,medium,0.6760903426791277,2.6760903426791276,2,720
0.392846,67,1390.92676,medium,0.4593457943925234,0.4593457943925234,0,665
2.484875,72,1416.826675,medium,0.5560747663551402,2.55607476635514,2,712
1.449757,60,1438.099301,medium,0.5096573208722741,1.5096573208722741,1,599
1.289876,59,1458.468688,medium,0.34867601246105917,1.348676012461059,1,588
1.583763,72,1483.931073,medium,0.6557632398753894,1.6557632398753894,1,720
0.372977,60,1503.906208,medium,0.4324766355140187,0.4324766355140187,0,595
0.341128,55,1522.247457,medium,0.39602803738317754,0.39602803738317754,0,549
0.423079,61,1543.119068,medium,0.48387850467289717,0.48387850467289717,0,608
2.847081,72,1566.16108,medium,0.9190809968847352,2.9190809968847353,2,720
1.663981,72,1592.309359,medium,0.735981308411215,1.735981308411215,1,720
0.394381,67,1615.126811,medium,0.46098130841121493,0.46098130841121493,0,666
2.603156,72,1639.583286,medium,0.6751557632398754,2.6751557632398755,2,720
2.706193,72,1664.852121,medium,0.7781931464174455,2.7781931464174456,2,720
1.533685,72,1688.775937,medium,0.6056853582554517,1.6056853582554518,1,720
0.186723,72,1714.130271,medium,0.2587227414330218,0.2587227414330218,0,720
2.787112,72,1739.289073,medium,0.8591121495327103,2.8591121495327103,2,720
0.182953,57,1761.284261,medium,0.23995327102803737,0.23995327102803737,0,570
0.37191,69,1785.057249,medium,0.440809968847352,0.440809968847352,0,689
0.191593,62,1806.456752,medium,0.2531931464174455,0.2531931464174455,0,616
