#{"t_start": 1778876763.522403, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
0.032233,72,19.496992,0.10423340961098398,0.10423340961098398,0,720
0.17033,56,37.010253,0.22602974828375286,0.22602974828375286,0,557
0.163538,58,54.875831,0.22093821510297482,0.22093821510297482,0,574
0.073951,59,73.183869,0.13215102974828374,0.13215102974828374,0,582
0.157336,62,91.99584,0.21933638443935927,0.21933638443935927,0,620
0.00867,53,108.865132,0.061270022883295194,0.061270022883295194,0,526
0.022286,53,124.686558,0.07488558352402747,0.07488558352402747,0,526
0.089678,54,140.658978,0.1430778032036613,0.1430778032036613,0,534
0.198559,53,275.636146,0.25125858123569794,0.25125858123569794,0,527
0.074864,56,292.851244,0.13066361556064074,0.13066361556064074,0,558
0.221705,58,309.951784,0.2790045766590389,0.2790045766590389,0,573
0.158816,55,325.9088,0.21361556064073225,0.21361556064073225,0,548
0.099332,54,341.387481,0.15263157894736842,0.15263157894736842,0,533
0.121579,60,359.362524,0.18157894736842106,0.18157894736842106,0,600
0.211144,65,379.14402,0.2761441647597254,0.2761441647597254,0,650
0.150935,67,399.940149,0.21773455377574372,0.21773455377574372,0,668
0.05866,70,422.212483,0.1278604118993135,0.1278604118993135,0,692
