#{"t_start": 1779124162.8454309, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
4.320851,66,21.915566,medium,1.0,4.0,3,653,4,2,2,2,2,0,0,0,0,0.030062305295950217,0.0,0.0,1.0,1.0,5,True,58,0.06883928571428571,0.09115127113929686,0.29500000000000004,0.010521806853582576,0.08062946428571428,0.12000000000000001,0.1,0.025,0.05,0.0,0.0
3.192553,83,46.583357,medium,0.9785825545171339,2.978582554517134,2,822,4,2,2,2,2,0,0,0,0,0.0,0.0,0.0,0.9380630630630631,1.0,4,True,11,0.010803571428571428,0.013602678571428571,0.2825675675675675,0.0,0.013602678571428571,0.11256756756756753,0.1,0.02,0.05,0.0,0.0
3.002313,59,64.169044,medium,0.7271028037383177,2.7271028037383176,2,585,4,2,2,2,2,0,0,0,0,0.011775700934579508,0.03405405405405425,0.0,0.6162162162162164,1.0,3,True,72,0.07285714285714286,0.09476435246995996,0.23894594594594598,0.004121495327102827,0.09064285714285714,0.07394594594594596,0.1,0.015,0.05,0.0,0.0
4.249248,77,87.077936,medium,1.0,4.0,3,767,4,2,2,2,2,0,0,0,0,0.035677570093458,0.0,0.014699999999999979,1.0,0.9999999999999994,5,True,17,0.01328125,0.0309480870327103,0.29499999999999993,0.012487149532710297,0.0184609375,0.12,0.09999999999999994,0.025,0.05,0.0,0.0
3.093452,90,112.778621,medium,0.8917445482866043,2.891744548286604,2,900,4,2,2,2,2,0,0,0,0,0.016448598130840972,0.015135135135134713,0.04799999999999999,0.6869369369369369,0.9999999999999978,3,True,24,0.03535714285714286,0.04427486648865148,0.24743243243243224,0.00575700934579434,0.038517857142857145,0.08243243243243244,0.0999999999999998,0.015,0.05,0.0,0.0
0.576083,64,131.187981,medium,0.46214953271028036,0.46214953271028036,0,632,4,2,2,2,2,0,0,0,0,0.03712616822429866,0.03689189189189212,0.0,0.4720720720720723,0.07933333333333334,2,False,71,0.07207589285714286,0.10255107852136167,0.07458198198198202,0.012994158878504528,0.08955691964285714,0.056648648648648686,0.007933333333333334,0.01,0.0,0.0,0.0
0.604301,90,162.470215,medium,0.49214174454828663,0.49214174454828663,0,900,4,2,2,2,2,0,0,0,0,0.004252336448598121,0.010878378378378413,0.00209999999999991,0.4251801801801799,0.8770999999999999,1,False,51,0.04191964285714286,0.05842804989986648,0.14373162162162162,0.0014883177570093426,0.05693973214285714,0.05102162162162158,0.08771000000000005,0.005,0.0,0.0,0.0
3.025164,60,180.15078,medium,0.7811915887850467,2.7811915887850467,2,592,4,2,2,2,2,0,0,0,0,0.05019470404984436,0.016554054054054083,0.1903333333333336,0.7726351351351344,0.9999999999999961,2,True,26,0.02651785714285714,0.05045653927458839,0.25271621621621576,0.01756814641744553,0.03288839285714286,0.09271621621621613,0.0999999999999996,0.01,0.05,0.0,0.0
3.21881,90,206.474461,medium,0.942601246105919,2.942601246105919,2,900,4,2,2,2,2,0,0,0,0,0.015669781931464212,0.015135135135135258,0.0,0.8340090090090082,1.0,4,True,72,0.07285714285714286,0.0961272808188696,0.270081081081081,0.005484423676012474,0.09064285714285714,0.10008108108108098,0.09999999999999999,0.02,0.05,0.0,0.0
3.07483,63,225.453425,medium,0.7975077881619937,2.797507788161994,2,623,4,2,2,2,2,0,0,0,0,0.0063785046728970715,0.008040540540540628,0.0,0.8198198198198198,1.0,4,True,43,0.06334821428571429,0.07124363734979969,0.26837837837837836,0.0022324766355139745,0.06901116071428572,0.09837837837837836,0.1,0.02,0.05,0.0,0.0
2.846187,66,244.72715,medium,0.6593457943925234,2.6593457943925234,2,652,4,2,2,2,2,0,0,0,0,0.01975856697819239,0.0,0.07489999999999676,0.37454954954954955,1.0,2,True,37,0.02890625,0.04709518594236734,0.20494594594594595,0.006915498442367336,0.040179687500000005,0.04494594594594594,0.1,0.01,0.05,0.0,0.0
3.078962,82,269.303426,medium,0.8771028037383177,2.8771028037383175,2,813,4,2,2,2,2,0,0,0,0,0.0,0.0,0.0,0.6445945945945946,1.0,3,True,33,0.032410714285714286,0.04080803571428571,0.24235135135135139,0.0,0.04080803571428571,0.07735135135135136,0.1,0.015,0.05,0.0,0.0
