label,profile,seed,score,damage_pct,stars,steps,ticks,terminated,truncated,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,active_nearest_distance_mean,active_close_pair_fraction_mean,active_quadrant_entropy_mean,troop_damage_taken_pct,cannon_damage_pct,wizard_tower_damage_pct,mortar_damage_pct,bomb_damage_pct,splash_damage_pct,cannon_deaths,wizard_tower_deaths,mortar_deaths,bomb_deaths,splash_deaths,multi_hit_splash_events,wizard_tower_multi_hit_events,mortar_multi_hit_events,bomb_multi_hit_events,wall_breakers_deployed,wall_breaker_explosions,wall_breakers_dead_without_explosion,wall_segments_damaged_by_wb,wall_segments_destroyed_by_wb,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,spells_remaining,townhall_destroyed,defenses_destroyed
final,hard,600000,1.4885640732265446,0.48856407322654466,1,79,785,1,0,65,2,0.7692307692307693,1.0,-0.0,2.8892719199730053,0.2116910866910867,0.2099354171895117,0.9341408450704224,0.02726760563380281,0.24766197183098565,0.6592112676056339,0.0,0.9068732394366195,0,15,36,0,51,51,16,35,0,15,14,1,58,29,4,4,0,0,1,4
final,hard,600001,1.5166933638443927,0.5166933638443927,1,81,809,1,0,65,2,0.7692307692307693,1.0,-0.0,2.3144448137095894,0.11837690087690086,0.3035662039943724,0.9999999999999991,0.2360281690140842,0.38583098591549225,0.3781408450704226,0.0,0.7639718309859148,20,22,23,0,45,44,26,18,0,15,0,15,0,0,4,4,0,0,0,3
final,hard,600002,0.35566933638443915,0.35566933638443915,0,84,831,1,0,65,2,0.7692307692307693,1.0,-0.0,2.9842384803181337,0.1280892103676914,0.23563238983827894,0.9236056338028165,0.18264788732394363,0.3373802816901404,0.40357746478873235,0.0,0.7409577464788728,9,19,23,0,42,27,14,13,0,15,14,1,56,25,4,4,0,0,0,3
final,hard,600003,0.24496567505720823,0.24496567505720823,0,76,751,1,0,65,2,0.7692307692307693,1.0,-0.0,2.766593408465738,0.12207207207207207,0.06107374419387487,0.971154929577464,0.20126760563380267,0.5019154929577458,0.2496619718309859,0.018309859154929577,0.7698873239436613,6,48,4,1,53,49,36,13,0,15,6,9,24,12,4,4,0,0,0,2
final,hard,600004,0.3590732265446224,0.3590732265446224,0,77,764,1,0,65,2,0.7692307692307693,1.0,-0.0,2.969629708457203,0.12782324220680383,0.2624605965558959,0.9211267605633797,0.07971830985915496,0.4498873239436614,0.33140845070422537,0.060112676056338035,0.8414084507042248,3,27,12,9,48,46,31,14,1,15,14,1,60,25,4,4,0,0,0,3
final,hard,600005,1.4089016018306637,0.40890160183066365,1,75,742,1,0,65,3,0.6461538461538462,1.0,-0.0,2.0869592759568865,0.22181467181467182,0.05354399190045631,0.9323943661971826,0.05149295774647888,0.3034366197183094,0.5774647887323944,0.0,0.8809014084507036,2,23,28,0,51,45,22,23,0,15,12,3,50,25,4,4,0,0,1,2
final,hard,600006,0.26458810068649885,0.26458810068649885,0,74,735,1,0,65,2,0.7692307692307693,1.0,-0.0,3.6680262310076635,0.10845648604269295,0.30768475786490856,0.9999999999999992,0.3290985915492951,0.23695774647887316,0.4043661971830986,0.029577464788732393,0.6709014084507042,34,20,9,2,31,14,6,7,1,15,0,15,0,0,0,4,0,4,0,2
final,hard,600007,2.70245995423341,0.7024599542334096,2,85,842,1,0,65,2,0.7692307692307693,1.0,-0.0,2.6290385289724965,0.2040945165945166,0.22957900059257363,0.9303661971830979,0.12033802816901419,0.4050140845070414,0.38247887323943663,0.022535211267605635,0.8100281690140836,4,28,16,2,46,44,29,14,1,15,15,0,64,29,4,4,0,0,1,5
final,hard,600008,1.683192219679634,0.683192219679634,1,77,761,1,0,65,2,0.7692307692307693,1.0,-0.0,1.051400016736393,0.42035594035594037,0.1049103866039046,0.9154929577464785,0.13535211267605643,0.34132394366197133,0.4388169014084507,0.0,0.780140845070422,9,20,21,0,41,48,25,23,0,15,15,0,75,34,4,4,0,0,0,4
final,hard,600009,2.663615560640732,0.6636155606407322,2,81,809,1,0,65,2,0.7692307692307693,1.0,-0.0,2.6826250189195626,0.13537774725274726,0.35162319969008654,0.9621408450704219,0.13132394366197195,0.3867605633802809,0.39898591549295775,0.04507042253521127,0.83081690140845,6,27,16,4,47,39,25,13,1,15,12,3,54,27,4,4,0,0,1,4
final,hard,600010,4.0,1.0,3,99,989,1,0,65,2,0.7692307692307693,1.0,-0.0,1.9400142613341331,0.2945098552241409,0.4656725990102233,0.8496901408450697,0.16974647887323943,0.40405633802816826,0.25661971830985914,0.019267605633802823,0.6799436619718303,9,23,12,2,37,46,36,9,1,15,15,0,73,34,4,4,0,0,1,8
final,hard,600011,0.1945080091533181,0.1945080091533181,0,69,686,1,0,65,3,0.6461538461538462,1.0,-0.0,2.578227784661049,0.1682283666154634,0.016009904322856868,0.9549295774647883,0.22940845070422516,0.2858873239436618,0.4396338028169014,0.0,0.7255211267605632,17,24,16,0,40,13,6,7,0,15,8,7,40,15,0,4,0,4,0,2
final,hard,600012,2.540045766590389,0.540045766590389,2,93,922,1,0,65,3,0.6461538461538462,1.0,-0.0,1.3823644201609644,0.22589620117710005,0.0,0.9154929577464785,0.05149295774647888,0.2803380281690137,0.46253521126760566,0.12112676056338029,0.8639999999999997,2,22,19,7,48,44,24,19,1,15,15,0,67,31,4,4,0,0,1,3
final,hard,600013,0.41830091533180763,0.41830091533180763,0,91,909,1,0,65,2,0.7692307692307693,1.0,-0.0,2.5281928491553467,0.3045073445073445,0.3167967834451555,0.9999999999999984,0.39566197183098495,0.3783380281690136,0.22599999999999995,0.0,0.6043380281690135,24,29,12,0,41,25,14,11,0,15,0,15,0,0,4,4,0,0,0,3
final,hard,600014,2.5882151029748286,0.5882151029748284,2,100,1000,0,1,65,2,0.7692307692307693,1.0,-0.0,2.562799378129686,0.3238816738816739,0.08246296832296567,0.9247605633802812,0.06980281690140848,0.3594084507042249,0.49554929577464785,0.0,0.8549577464788727,3,33,18,0,51,34,22,12,0,15,9,6,37,16,4,4,0,0,1,4
final,hard,600015,2.54837528604119,0.5483752860411899,2,74,740,1,0,65,2,0.7692307692307693,1.0,-0.0,1.887391493454987,0.2720637387304054,0.0,0.92112676056338,0.07571830985915497,0.23543661971830965,0.5956901408450703,0.014281690140845071,0.845408450704225,4,20,26,1,47,41,18,23,0,15,14,1,54,27,4,4,0,0,1,3
final,hard,600016,0.4674485125858124,0.4674485125858124,0,82,812,1,0,65,2,0.7692307692307693,1.0,-0.0,2.6662547181103977,0.1901864970046788,0.33251753354674696,0.9887323943661963,0.3726197183098582,0.1603661971830986,0.45574647887323944,0.0,0.6161126760563381,28,11,24,0,35,19,4,15,0,15,2,13,10,5,4,4,0,0,0,3
final,hard,600017,2.632379862700229,0.6323798627002288,2,92,920,1,0,65,2,0.7692307692307693,1.0,-0.0,2.387373765801146,0.13762428048142333,0.13242345139077907,0.9774647887323941,0.1584788732394367,0.28991549295774616,0.5023098591549295,0.02676056338028169,0.8189859154929574,16,25,17,3,45,35,15,19,1,15,4,11,20,10,4,4,0,0,1,5
final,hard,600018,2.5657322654462242,0.5657322654462242,2,79,789,1,0,65,2,0.7692307692307693,1.0,-0.0,2.0606164895918537,0.19860139860139858,0.25713692821229717,0.9782816901408451,0.16039436619718317,0.18771830985915483,0.6301690140845071,0.0,0.8178873239436619,7,20,32,0,52,42,11,31,0,15,6,9,22,10,4,4,0,0,1,4
final,hard,600019,0.3832036613272311,0.3832036613272311,0,79,783,1,0,65,2,0.7692307692307693,1.0,-0.0,3.327613992326388,0.07954640388850916,0.20491522062568793,0.9478873239436609,0.3700281690140836,0.232394366197183,0.335830985915493,0.00963380281690141,0.5778591549295774,17,18,15,3,36,29,13,15,1,15,12,3,48,21,4,4,0,0,0,2
final,hard,600020,2.511670480549199,0.5116704805491991,2,76,751,1,0,65,5,0.2923076923076923,0.7846153846153846,0.7453744205587465,1.4629324576553762,0.338452380952381,0.10271278450876617,0.9567323943661971,0.21988732394366176,0.12960563380281695,0.5692112676056338,0.038028169014084505,0.7368450704225352,15,9,28,4,41,31,12,18,1,15,9,6,45,20,4,4,0,0,1,4
final,hard,600021,0.33436498855835234,0.33436498855835234,0,75,748,1,0,65,3,0.6461538461538462,1.0,-0.0,2.690531036704209,0.23850639467077825,0.06738073363380924,0.9323943661971822,0.27884507042253476,0.3487605633802813,0.3047887323943662,0.0,0.6535492957746475,13,26,14,0,40,15,8,7,0,15,12,3,60,25,4,4,0,0,0,2
final,hard,600022,0.4369794050343248,0.4369794050343248,0,78,772,1,0,65,3,0.6615384615384615,1.0,-0.0,2.2727220821721774,0.15806451612903227,0.0,0.9711549295774643,0.1927323943661971,0.3725633802816896,0.38718309859154937,0.01867605633802817,0.7784225352112671,9,23,24,3,50,41,24,16,1,15,6,9,24,12,4,4,0,0,0,3
final,hard,600023,1.5583924485125855,0.5583924485125855,1,86,852,1,0,65,2,0.7692307692307693,1.0,-0.0,1.979176271600909,0.2504625533196962,0.31174137779772604,0.9999999999999999,0.19740845070422522,0.14594366197183103,0.6566478873239436,0.0,0.8025915492957746,19,9,37,0,46,35,7,28,0,15,0,15,0,0,4,4,0,0,0,4
final,hard,600024,2.570080091533181,0.5700800915331807,2,79,784,1,0,65,2,0.7692307692307693,1.0,-0.0,2.5163781569610593,0.1461732711732712,0.28916037750576534,0.9154929577464781,0.28715492957746414,0.1830985915492957,0.44523943661971827,0.0,0.628338028169014,20,12,18,0,30,28,12,16,0,15,15,0,51,23,4,4,0,0,1,3
final,hard,600025,0.4794050343249428,0.4794050343249428,0,81,805,1,0,65,2,0.7692307692307693,1.0,-0.0,3.691706626782802,0.14100829725829725,0.35818285151882234,0.915492957746478,0.27216901408450656,0.3452676056338024,0.2295492957746479,0.06850704225352114,0.6433239436619713,13,22,7,8,37,24,16,7,1,15,15,0,75,35,4,4,0,0,0,4
final,hard,600026,0.36916475972540047,0.36916475972540047,0,78,778,1,0,65,3,0.6923076923076923,1.0,0.38967491864604253,1.5007740217342236,0.2924107142857143,0.07206028306688482,0.9431267605633799,0.10146478873239444,0.3919436619718305,0.44971830985915495,0.0,0.8416619718309855,5,22,24,0,46,54,32,22,0,15,14,1,70,35,4,4,0,0,0,3
final,hard,600027,0.47505720823798625,0.47505720823798625,0,88,871,1,0,65,2,0.7692307692307693,1.0,-0.0,1.8874366750406204,0.1859868363925159,0.2812095090765467,0.9999999999999994,0.3422535211267598,0.02819718309859155,0.553154929577465,0.0763943661971831,0.6577464788732397,31,0,27,7,34,24,1,22,1,15,0,15,0,0,4,4,0,0,0,4
final,hard,600028,2.511670480549199,0.5116704805491991,2,78,776,1,0,65,2,0.7692307692307693,1.0,-0.0,2.4827310215928655,0.19160997732426302,0.023581501259875428,0.9887323943661965,0.2014084507042252,0.39442253521126713,0.3745915492957747,0.018309859154929577,0.7873239436619713,20,30,12,1,43,47,34,13,0,15,2,13,10,5,4,4,0,0,1,4
final,hard,600029,0.2974828375286041,0.2974828375286041,0,70,693,1,0,65,3,0.6461538461538462,1.0,-0.0,1.9622977284827574,0.2255718954248366,0.011930560653810776,0.9629859154929571,0.08219718309859159,0.4733239436619711,0.4074647887323944,0.0,0.8807887323943655,3,31,23,0,54,44,24,20,0,15,8,7,25,11,0,4,0,4,0,2
final,hard,600030,0.3346281464530891,0.3346281464530891,0,77,767,1,0,65,2,0.7692307692307693,1.0,-0.0,4.083541209465509,0.09829403053087263,0.3369929827715895,0.9154929577464782,0.23323943661971802,0.32766197183098555,0.28495774647887323,0.0696338028169014,0.6822535211267602,10,19,16,5,40,19,11,7,1,15,15,0,75,35,4,4,0,0,0,2
final,hard,600031,0.23363844393592678,0.23363844393592678,0,83,827,1,0,65,2,0.7692307692307693,1.0,-0.0,3.019567584966243,0.17860696517412936,0.32387211426079343,0.9887323943661964,0.2785915492957741,0.24377464788732375,0.4530140845070423,0.01335211267605634,0.7101408450704224,20,12,30,1,43,34,11,23,0,15,2,13,10,5,4,4,0,0,0,2
final,hard,600032,0.37366704805491996,0.37366704805491996,0,78,776,1,0,65,2,0.7692307692307693,1.0,-0.0,2.2747570166902875,0.1707375566530496,0.16722032133766662,0.937295774647887,0.10546478873239445,0.3325352112676052,0.4542253521126762,0.04507042253521127,0.8318309859154926,4,18,26,4,48,48,24,23,1,15,13,2,57,26,4,4,0,0,0,3
final,hard,600033,0.47254004576659037,0.47254004576659037,0,80,799,1,0,65,2,0.7692307692307693,1.0,-0.0,3.4282069343117896,0.1261603375527426,0.4121938659218914,0.9607042253521128,0.07971830985915498,0.12949295774647893,0.751492957746479,0.0,0.8809859154929579,3,12,40,0,52,43,5,38,0,15,10,5,46,21,4,4,0,0,0,3
final,hard,600034,2.7439359267734553,0.7439359267734553,2,89,887,1,0,65,2,0.7692307692307693,1.0,-0.0,3.176540002937364,0.18548042866224684,0.5587719508430624,0.9855211267605627,0.2463098591549292,0.22030985915492932,0.5189014084507042,0.0,0.7392112676056335,9,26,26,0,52,33,16,17,0,15,4,11,14,7,4,4,0,0,1,7
final,hard,600035,2.677345537757437,0.6773455377574371,2,84,838,1,0,65,2,0.7692307692307693,1.0,-0.0,2.106128334655923,0.3788530746362072,0.1526729212605862,0.9154929577464787,0.1895774647887323,0.18371830985915485,0.4534647887323944,0.08873239436619719,0.7259154929577464,9,13,17,11,41,31,16,13,2,15,15,0,71,31,4,4,0,0,1,6
final,hard,600036,0.3338672768878719,0.3338672768878719,0,78,775,1,0,65,2,0.7692307692307693,1.0,-0.0,3.282760660525483,0.17755102040816326,0.3019493559842704,0.9154929577464782,0.11298591549295783,0.4085070422535204,0.394,0.0,0.8025070422535205,8,29,13,0,42,48,28,20,0,15,15,0,70,34,4,4,0,0,0,2
