profile,seed,steps,ticks,score,damage_pct,stars,terminated,truncated,wall_breakers_deployed,wall_breakers_alive_final,wall_breaker_explosions,wall_breakers_dead_without_explosion,wb_wall_damage,wb_unique_walls_damaged,wb_unique_walls_destroyed,wb_fresh_walls_destroyed,wb_predamaged_walls_destroyed,final_walls_damaged,final_walls_destroyed,total_wall_damage
hard,220130,57,564,0.28106407322654464,0.28106407322654464,0,True,False,10,0,10,0,7500.0,25,25,0,25,34,34,10200.0
hard,220131,58,572,0.34393592677345536,0.34393592677345536,0,True,False,10,0,10,0,5100.0,17,17,0,17,22,21,6395.55
hard,220132,53,529,2.5405034324942792,0.5405034324942791,2,True,False,10,0,10,0,7185.0,28,19,0,19,35,24,8751.5
hard,220133,56,557,0.3560640732265446,0.3560640732265446,0,True,False,10,0,10,0,6600.0,27,17,0,17,35,24,8763.0
hard,220134,54,538,0.2137299771167048,0.2137299771167048,0,True,False,10,0,8,2,4800.0,16,16,0,16,17,17,5100.0
hard,220135,55,542,0.19639588100686498,0.19639588100686498,0,True,False,10,0,10,0,6600.0,22,22,0,22,26,26,7800.0
hard,220136,56,555,0.45011441647597256,0.45011441647597256,0,True,False,10,0,10,0,6900.0,23,23,0,23,27,26,7838.5
hard,220137,54,536,0.14874141876430205,0.14874141876430205,0,True,False,10,0,10,0,6900.0,25,21,0,21,28,23,7696.0
hard,220138,56,556,0.3748283752860412,0.3748283752860412,0,True,False,10,0,10,0,7500.0,25,25,0,25,25,25,7500.0
hard,220139,55,543,0.3684210526315789,0.3684210526315789,0,True,False,10,0,10,0,5413.0,19,19,0,19,20,20,6000.0
hard,220140,53,530,1.3203661327231122,0.32036613272311215,1,True,False,10,0,9,1,6750.0,25,20,0,20,32,23,8168.35
hard,220141,51,504,0.14874141876430205,0.14874141876430205,0,True,False,10,0,6,4,4500.0,15,15,0,15,18,16,5104.5
hard,220142,56,552,0.40245995423340963,0.40245995423340963,0,True,False,10,0,9,1,4950.0,17,16,0,16,21,20,6150.0
hard,220143,56,552,0.31630434782608696,0.31630434782608696,0,True,False,10,0,10,0,6600.0,22,22,0,22,28,27,8246.65
hard,220144,54,533,0.2673340961098398,0.2673340961098398,0,True,False,10,0,10,0,5648.5,25,13,0,13,28,15,6556.5
hard,220145,53,529,0.27185354691075514,0.27185354691075514,0,True,False,10,0,10,0,5100.0,21,13,0,13,26,18,6600.0
hard,220146,56,552,0.4263215102974828,0.4263215102974828,0,True,False,10,0,10,0,7500.0,30,20,0,20,38,25,9259.0
hard,220147,54,538,0.23335240274599542,0.23335240274599542,0,True,False,10,0,10,0,6243.5,23,20,0,20,26,21,7163.0
hard,220148,54,537,1.3612128146453089,0.3612128146453089,1,True,False,10,0,10,0,6000.0,20,20,0,20,22,22,6600.0
hard,220149,54,532,0.18958810068649887,0.18958810068649887,0,True,False,10,0,9,1,5775.0,21,16,0,16,23,18,6375.0
hard,220150,55,544,0.1723684210526316,0.1723684210526316,0,True,False,10,0,10,0,6300.0,21,21,0,21,21,21,6300.0
