#{"t_start": 1779135060.2293394, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.285625,90,31.491056,hard,0.23505720823798634,0.23505720823798634,0,900,8,4,4,4,4,0,0,0,0,0.005406178489702576,0.012980769230769374,0.0,0.33362637362637315,0.0,2,False,82,0.06352112676056337,0.09053300754181844,0.05003516483516478,0.0018921624713959017,0.08864084507042254,0.040035164835164776,0.0,0.01,0.0,0.0,0.0
0.193912,76,54.495601,hard,0.18386727688787186,0.18386727688787186,0,753,8,4,4,4,4,0,0,0,0,0.010469107551487413,0.0,0.0,0.19423076923076923,0.0,0,False,54,0.04183098591549296,0.06203742707964031,0.023307692307692314,0.0036641876430205944,0.05837323943661971,0.023307692307692314,0.0,0.0,0.0,0.0,0.0
0.287256,74,75.873158,hard,0.22282608695652173,0.22282608695652173,0,735,8,4,4,4,4,0,0,0,0,0.003661327231121282,0.0,0.0,0.26373626373626374,0.0,1,False,110,0.08848591549295774,0.10128146453089246,0.036648351648351646,0.0012814645308924487,0.1,0.03164835164835165,0.0,0.005,0.0,0.0,0.0
0.332372,76,98.111534,hard,0.26582951945080074,0.26582951945080074,0,757,8,4,4,4,4,0,0,0,0,0.016115560640732125,0.0005769230769230521,0.0,0.35689560439560436,0.0,2,False,71,0.06436619718309859,0.08941509411158019,0.05282747252747252,0.005640446224256243,0.08377464788732394,0.042827472527472515,0.0,0.01,0.0,0.0,0.0
0.469079,90,124.34768,hard,0.38705949656750566,0.38705949656750566,0,900,8,4,4,4,4,0,0,0,0,0.01381578947368417,0.033173076923076826,0.0,0.43486263736263586,0.0,3,False,101,0.08753521126760563,0.10483552631578946,0.06718351648351628,0.004835526315789459,0.1,0.05218351648351629,0.0,0.015,0.0,0.0,0.0
0.250821,76,147.076978,hard,0.18881006864988567,0.18881006864988567,0,754,8,4,4,4,4,0,0,0,0,0.01009153318077814,0.0,0.0,0.24065934065934066,0.0,1,False,102,0.08450704225352113,0.10353203661327236,0.033879120879120886,0.0035320366132723493,0.1,0.028879120879120885,0.0,0.005,0.0,0.0,0.0
0.38056,77,175.128126,hard,0.3347826086956522,0.3347826086956522,0,765,8,4,4,4,4,0,0,0,0,0.008529748283752909,0.005769230769230833,0.0,0.368131868131868,0.0,3,False,54,0.04415492957746479,0.06310160908241211,0.059175824175824156,0.002985411899313518,0.060116197183098595,0.044175824175824156,0.0,0.015,0.0,0.0,0.0
0.524392,78,197.894074,hard,0.43638443935926774,0.43638443935926774,0,777,8,4,4,4,4,0,0,0,0,0.024387871853547172,0.02653846153846182,0.0,0.4513736263736259,0.0,2,False,92,0.06267605633802817,0.10154279740226264,0.06416483516483512,0.00853575514874151,0.09300704225352113,0.05416483516483512,0.0,0.01,0.0,0.0,0.0
0.332606,78,220.777064,hard,0.28389016018306623,0.28389016018306623,0,773,8,4,4,4,4,0,0,0,0,0.01874141876430179,0.00692307692307664,0.0,0.29497252747252717,0.0,2,False,54,0.06274647887323943,0.08061935572243521,0.04539670329670326,0.006559496567505626,0.07405985915492959,0.03539670329670326,0.0,0.01,0.0,0.0,0.0
0.373482,76,243.151899,hard,0.3359267734553776,0.3359267734553776,0,757,8,4,4,4,4,0,0,0,0,0.020423340961098324,0.003173076923076958,0.0,0.3120879120879121,0.0,2,False,58,0.03954225352112676,0.06580485947722949,0.047450549450549454,0.007148169336384413,0.05865669014084507,0.03745054945054945,0.0,0.01,0.0,0.0,0.0
