#{"t_start": 1779049697.7159948, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed
2.648816,72,34.082612,medium,0.7200155763239875,2.7200155763239877,2,712
1.559997,80,58.442314,medium,0.6390965732087227,1.6390965732087226,1,791
2.864579,87,84.290199,medium,0.950778816199377,2.950778816199377,2,862
0.427499,72,106.273722,medium,0.49929906542056074,0.49929906542056074,0,718
1.456944,68,128.014883,medium,0.5248442367601246,1.5248442367601247,1,679
0.351035,59,146.082314,medium,0.40973520249221185,0.40973520249221185,0,587
0.248485,74,169.070763,medium,0.3218847352024922,0.3218847352024922,0,734
2.59634,75,204.198409,medium,0.6713395638629284,2.6713395638629285,2,750
2.752436,68,224.944236,medium,0.8204361370716511,2.820436137071651,2,680
0.33461,90,252.289034,medium,0.42390965732087227,0.42390965732087227,0,893
3.9408,60,269.897684,medium,1.0,4.0,3,592
1.621068,72,292.653619,medium,0.692367601246106,1.692367601246106,1,713
2.521284,75,315.444304,medium,0.596183800623053,2.596183800623053,2,749
0.386791,90,356.291521,medium,0.47679127725856696,0.47679127725856696,0,900
0.273243,59,374.334863,medium,0.3322429906542056,0.3322429906542056,0,590
0.280016,90,401.255879,medium,0.3700155763239875,0.3700155763239875,0,900
0.36197,58,418.655968,medium,0.4194704049844237,0.4194704049844237,0,575
0.209767,66,439.497671,medium,0.27546728971962614,0.27546728971962614,0,657
2.69055,66,459.870298,medium,0.7565498442367602,2.75654984423676,2,660
3.9378,63,480.09437,medium,1.0,4.0,3,622
0.308551,64,499.784065,medium,0.3716510903426791,0.3716510903426791,0,631
2.501121,90,562.337187,medium,0.5911214953271028,2.5911214953271027,2,900
0.199144,59,580.18994,medium,0.25794392523364484,0.25794392523364484,0,588
0.336958,65,600.596304,medium,0.4015576323987539,0.4015576323987539,0,646
1.529092,82,626.382486,medium,0.6105919003115264,1.6105919003115265,1,815
0.240288,59,644.847816,medium,0.29898753894081,0.29898753894081,0,587
2.669268,90,673.174334,medium,0.7592679127725857,2.759267912772586,2,900
